x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
9.87E-02,3.30E-01,1.28E-02,-8.90E-02,1.14E-02,-5.53E-02,-9.94E-01,0.09395037,0.325441865,0.015415529,-0.082428269,0.005235697,-0.035135922,-0.995963438
4.81E-02,3.34E-01,1.22E-01,9.89E-02,-1.60E-02,-3.21E-02,-9.94E-01,0.050416425,0.329278076,0.117764433,0.070663029,-0.009418921,-0.029142434,-0.997029948
-1.11E-02,3.35E-01,1.04E-01,-5.45E-02,-1.35E-03,8.87E-02,-9.95E-01,-0.006466464,0.333304487,0.106945886,-0.037807873,-0.00457813,0.082224147,-0.995869998
-2.21E-02,3.45E-01,4.81E-02,-1.34E-01,-8.60E-03,1.35E-01,-9.82E-01,-0.023017122,0.343328816,0.05427854,-0.132428712,-0.00210298,0.122265055,-0.983619587
9.89E-02,3.19E-01,9.80E-02,6.32E-02,1.21E-02,-5.00E-02,-9.97E-01,0.087649697,0.319622022,0.103050997,0.051029138,0.010702698,-0.035653763,-0.998003113
6.99E-02,3.27E-01,1.17E-01,2.55E-04,-3.51E-03,-5.09E-02,-9.99E-01,0.076265028,0.323023766,0.109341716,0.008765814,0.000347648,-0.051221581,-0.998648715
4.48E-02,3.39E-01,2.05E-01,9.96E-02,7.48E-03,1.63E-02,-9.95E-01,0.055040633,0.333387738,0.192686237,0.086260632,0.005665939,-0.002238518,-0.996252243
1.26E-01,3.41E-01,1.53E-02,-5.23E-02,1.12E-02,4.28E-04,-9.99E-01,0.136373115,0.337396123,0.025106758,-0.050051216,0.016163015,-0.026699359,-0.998245176
8.70E-02,3.30E-01,2.21E-02,-1.61E-01,-1.60E-02,-3.17E-02,-9.86E-01,0.080637343,0.331267301,0.018716343,-0.161108363,-0.017252859,-0.026575594,-0.986427963
4.29E-02,3.34E-01,8.06E-02,1.86E-02,-9.18E-03,-5.28E-02,-9.98E-01,0.052965004,0.330364021,0.074178069,-0.018194375,-0.006481316,-0.047362293,-0.99869074
1.23E-01,3.21E-01,1.30E-01,5.40E-02,9.78E-03,-5.26E-02,-9.97E-01,0.111318588,0.320445828,0.124323957,0.045819034,0.006172476,-0.053469579,-0.997486758
1.32E-01,3.48E-01,1.00E-01,4.96E-02,5.14E-04,-1.54E-01,-9.87E-01,0.132229885,0.343297835,0.103221665,0.054978806,-0.001484057,-0.156313455,-0.986174985
-1.13E-02,3.45E-01,-1.96E-03,-1.14E-01,-1.00E-02,1.17E-01,-9.86E-01,-0.005918285,0.343305439,-0.005609494,-0.108627088,-0.007597482,0.10172114,-0.988835208
1.07E-01,3.37E-01,3.92E-02,-6.52E-02,1.51E-02,-7.72E-02,-9.95E-01,0.105710254,0.33679016,0.031324022,-0.067792431,0.014134893,-0.064188368,-0.995532008
7.40E-02,3.44E-01,5.33E-02,-3.58E-02,1.38E-03,-1.07E-01,-9.94E-01,0.090599522,0.340310333,0.049559738,-0.051274683,0.003273561,-0.105768046,-0.993062584
6.61E-02,3.27E-01,9.90E-02,9.13E-02,1.10E-02,3.91E-02,-9.95E-01,0.048609292,0.328431737,0.09255472,0.072910988,0.005833718,0.047130203,-0.996206721
6.90E-02,3.19E-01,6.94E-02,-6.58E-02,-1.43E-02,-2.68E-02,-9.97E-01,0.074432024,0.318889574,0.065040935,-0.056313324,-0.011919059,-0.029512827,-0.997905274
7.68E-02,3.27E-01,5.90E-02,-7.06E-02,-6.23E-03,-3.99E-02,-9.97E-01,0.077524643,0.322491117,0.061748315,-0.06365618,-0.013344623,-0.038567896,-0.997137078
8.35E-02,3.36E-01,1.19E-01,-8.24E-03,-3.08E-03,-5.81E-02,-9.98E-01,0.08694241,0.332348462,0.126918175,0.004569122,-0.008694495,-0.05377328,-0.998504865
3.61E-02,3.16E-01,9.43E-02,-1.72E-02,-1.27E-02,3.25E-02,-9.99E-01,0.028374211,0.317729938,0.100481787,-0.015354746,-0.010570111,0.043289548,-0.998888604
7.06E-03,3.26E-01,4.27E-02,-9.97E-02,-1.48E-02,9.71E-02,-9.90E-01,0.003834187,0.323729245,0.050946593,-0.088545845,-0.012779923,0.096603128,-0.991288519
