x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
0.091963299,0.326334163,0.014775808,-0.086336119,0.006627906,-0.033347762,-0.995685677,0.098683059,0.33003211,0.012841024,-0.089008123,0.011431746,-0.055310458,-0.994428217
0.111560027,0.328971189,0.022061003,-0.08054975,0.010603273,-0.07312068,-0.99400566,0.10739246,0.331609815,0.019832864,-0.089559257,0.010625038,-0.083497971,-0.99241823
0.112920599,0.329749344,0.018079739,-0.099358199,0.01015065,-0.078456026,-0.991901346,0.103595659,0.333145201,0.009910643,-0.114824757,0.009837184,-0.080457509,-0.990070581
0.110494107,0.330842177,0.010197343,-0.104306185,0.00994885,-0.075283379,-0.991640385,0.102693066,0.335097343,0.005811796,-0.105320513,0.012732979,-0.074359387,-0.991572261
0.106869344,0.33073869,0.009381738,-0.105011103,0.009872446,-0.073254413,-0.991718678,0.093517855,0.33242631,0.014726445,-0.074442029,0.009071808,-0.058404922,-0.995472252
0.104545677,0.330598543,0.008915014,-0.103151572,0.010316335,-0.072003459,-0.992002463,0.095486999,0.333284736,0.013662897,-0.09787333,0.012830447,-0.0821141,-0.991722465
0.110233524,0.334226714,0.005705914,-0.120155256,0.00485417,-0.083621049,-0.98921471,0.094719589,0.335658908,0.021443024,-0.113685519,0.008117732,-0.086970627,-0.989669204
0.103864675,0.333051304,0.019109428,-0.114062518,0.006478544,-0.079874807,-0.990235488,0.088853836,0.334521562,0.031503834,-0.113989681,0.004275896,-0.079586327,-0.990279734
0.095675127,0.333950677,0.026270634,-0.119199346,0.007896192,-0.07624911,-0.989904785,0.088177979,0.333392292,0.031153642,-0.115170747,0.001983438,-0.072834581,-0.990669906
0.07628862,0.332863311,0.030543766,-0.121271938,0.001445513,-0.052196591,-0.991244737,0.073799878,0.330791563,0.037739918,-0.100769848,0.000635628,-0.034247965,-0.994319737
0.06840421,0.333192376,0.028292531,-0.126298811,-0.000773959,-0.043722048,-0.991027864,0.065079316,0.331295818,0.033627138,-0.106223345,-0.005401958,-0.02290079,-0.994063854
0.047431602,0.33382352,0.030272012,-0.130616459,-0.006430455,-0.000479955,-0.991411773,0.047571599,0.332093984,0.034483045,-0.114549726,-0.007848948,0.012567818,-0.993306994
0.036990109,0.33333167,0.037788385,-0.115378369,-0.0045484,0.020149312,-0.993106604,0.038053557,0.331194401,0.037184782,-0.101357877,-0.011673924,0.027273685,-0.994407535
0.032907819,0.334010692,0.037094728,-0.119674374,-0.00528139,0.030325335,-0.992335105,0.034037337,0.332610995,0.037170291,-0.111468598,-0.012981378,0.045372844,-0.992646694
0.032674381,0.331822201,0.050823638,-0.103918354,-0.006715459,0.042391279,-0.993658284,0.03363575,0.33027038,0.044027053,-0.098559409,-0.016509723,0.048295349,-0.993819773
0.038699231,0.33179999,0.042129971,-0.09687466,-0.007551368,0.048728872,-0.994073705,0.041564152,0.330492437,0.035668656,-0.088753343,-0.015957955,0.050136983,-0.994663
