dtm_13,dtm_24,de_13,de_24,dl
-2.088748931884765625e+00,2.542610168457031250e-01,2.280918121337890625e+00,1.501121520996093750e-01,3.670858383178710938e+00
-2.106266021728515625e+00,3.306961059570312500e-01,2.408638000488281250e+00,3.177299499511718750e-01,2.516674041748046875e+00
-2.092658996582031250e+00,4.907073974609375000e-01,2.525943756103515625e+00,4.016952514648437500e-01,1.354169845581054688e+00
-2.080463409423828125e+00,6.984329223632812500e-01,2.576778411865234375e+00,4.755210876464843750e-01,2.072792053222656250e-01
-2.100677490234375000e+00,8.329277038574218750e-01,2.690582275390625000e+00,5.231018066406250000e-01,-8.859863281250000000e-01
-2.378967285156250000e+00,9.318351745605468750e-01,2.731060028076171875e+00,5.772438049316406250e-01,-1.638328552246093750e+00
-3.247276306152343750e+00,9.640274047851562500e-01,2.559700012207031250e+00,5.944557189941406250e-01,-1.558002471923828125e+00
-4.087615966796875000e+00,9.896354675292968750e-01,2.409049987792968750e+00,5.968551635742187500e-01,-1.464586257934570312e+00
-4.909118652343750000e+00,1.008865356445312500e+00,2.272960662841796875e+00,6.023674011230468750e-01,-1.361162185668945312e+00
-5.692771911621093750e+00,1.036338806152343750e+00,2.162792205810546875e+00,6.108589172363281250e-01,-1.253036499023437500e+00
-6.461112976074218750e+00,1.098461151123046875e+00,2.135921478271484375e+00,5.733299255371093750e-01,-1.113403320312500000e+00
-7.230255126953125000e+00,1.164928436279296875e+00,2.157890319824218750e+00,4.765586853027343750e-01,-9.490451812744140625e-01
-7.972518920898437500e+00,1.206504821777343750e+00,2.173984527587890625e+00,3.583335876464843750e-01,-7.761955261230468750e-01
-8.702213287353515625e+00,1.232681274414062500e+00,2.210350036621093750e+00,2.465019226074218750e-01,-6.072025299072265625e-01
-9.442642211914062500e+00,1.249225616455078125e+00,2.257186889648437500e+00,1.620903015136718750e-01,-4.269523620605468750e-01
-1.017031478881835938e+01,1.264499664306640625e+00,2.300968170166015625e+00,5.329513549804687500e-02,-2.430839538574218750e-01
-1.090068054199218750e+01,1.274948120117187500e+00,2.356506347656250000e+00,-6.570053100585937500e-02,-5.050086975097656250e-02
-1.162976837158203125e+01,1.289775848388671875e+00,2.415699005126953125e+00,-1.818428039550781250e-01,1.436729431152343750e-01
-1.235819625854492188e+01,1.318161010742187500e+00,2.501655578613281250e+00,-2.742767333984375000e-01,3.449192047119140625e-01
-1.309167861938476562e+01,1.350936889648437500e+00,2.711555480957031250e+00,-2.902717590332031250e-01,5.595664978027343750e-01
-1.380324935913085938e+01,1.375122070312500000e+00,2.931148529052734375e+00,-3.102874755859375000e-01,7.856884002685546875e-01
-1.444197845458984375e+01,1.368404388427734375e+00,3.186431884765625000e+00,-3.596382141113281250e-01,1.032855987548828125e+00
-1.508202743530273438e+01,1.362171173095703125e+00,3.545967102050781250e+00,-4.633522033691406250e-01,1.296035766601562500e+00
-1.570150756835937500e+01,1.367069244384765625e+00,3.946479797363281250e+00,-6.753692626953125000e-01,1.556634902954101562e+00
-1.631843185424804688e+01,1.382556915283203125e+00,4.336975097656250000e+00,-8.792419433593750000e-01,1.823001861572265625e+00
-1.693542480468750000e+01,1.403652191162109375e+00,4.732418060302734375e+00,-1.082260131835937500e+00,2.094482421875000000e+00
-1.755335998535156250e+01,1.427089691162109375e+00,5.161460876464843750e+00,-1.295127868652343750e+00,2.386785507202148438e+00
-1.822863769531250000e+01,1.468040466308593750e+00,5.628196716308593750e+00,-1.569297790527343750e+00,2.718780517578125000e+00
-1.891579818725585938e+01,1.484733581542968750e+00,6.095348358154296875e+00,-1.862937927246093750e+00,3.058471679687500000e+00
-1.959432411193847656e+01,1.517211914062500000e+00,6.589523315429687500e+00,-2.143230438232421875e+00,3.420867919921875000e+00
-2.024160003662109375e+01,1.524868011474609375e+00,7.212566375732421875e+00,-2.345424652099609375e+00,3.828102111816406250e+00
-2.092261695861816406e+01,1.510059356689453125e+00,7.893970489501953125e+00,-2.504726409912109375e+00,4.255853652954101562e+00
-2.160334587097167969e+01,1.494548797607421875e+00,8.576408386230468750e+00,-2.657283782958984375e+00,4.683507919311523438e+00
-2.228849220275878906e+01,1.464389801025390625e+00,9.274154663085937500e+00,-2.790348052978515625e+00,5.109342575073242188e+00
-2.296002769470214844e+01,1.435455322265625000e+00,1.000162887573242188e+01,-2.946140289306640625e+00,5.552904129028320312e+00
-2.361364555358886719e+01,1.403430938720703125e+00,1.072647857666015625e+01,-3.158969879150390625e+00,6.008859634399414062e+00
-2.426254844665527344e+01,1.372344970703125000e+00,1.144865798950195312e+01,-3.370513916015625000e+00,6.464500427246093750e+00
-2.491695022583007812e+01,1.340572357177734375e+00,1.213944625854492188e+01,-3.601421356201171875e+00,6.927812576293945312e+00
-2.557065010070800781e+01,1.301013946533203125e+00,1.281473159790039062e+01,-3.829372406005859375e+00,7.390430450439453125e+00
-2.622086524963378906e+01,1.257179260253906250e+00,1.348219680786132812e+01,-4.054821014404296875e+00,7.853343963623046875e+00
-2.687298011779785156e+01,1.205291748046875000e+00,1.413525772094726562e+01,-4.275329589843750000e+00,8.311450958251953125e+00
-2.753474617004394531e+01,1.150634765625000000e+00,1.477450180053710938e+01,-4.502250671386718750e+00,8.766492843627929688e+00
-2.820472717285156250e+01,1.093997955322265625e+00,1.540799331665039062e+01,-4.725337982177734375e+00,9.222047805786132812e+00
-2.887196350097656250e+01,1.060302734375000000e+00,1.608468246459960938e+01,-4.927188873291015625e+00,9.698364257812500000e+00
-2.953553581237792969e+01,1.032188415527343750e+00,1.677103805541992188e+01,-5.121593475341796875e+00,1.017767524719238281e+01
-2.964492416381835938e+01,9.447784423828125000e-01,1.712154006958007812e+01,-5.202045440673828125e+00,1.144777107238769531e+01
-2.970900154113769531e+01,8.561172485351562500e-01,1.741102218627929688e+01,-5.294750213623046875e+00,1.269757080078125000e+01
-2.981370162963867188e+01,7.171096801757812500e-01,1.769853591918945312e+01,-5.381492614746093750e+00,1.397131729125976562e+01
-2.991381835937500000e+01,5.612144470214843750e-01,1.795122146606445312e+01,-5.484184265136718750e+00,1.527299118041992188e+01
-2.995790290832519531e+01,3.628883361816406250e-01,1.806158828735351562e+01,-5.646930694580078125e+00,1.650404739379882812e+01
-3.000861549377441406e+01,1.414794921875000000e-01,1.816655349731445312e+01,-5.792064666748046875e+00,1.773477935791015625e+01
-3.002784347534179688e+01,-5.804824829101562500e-02,1.824745559692382812e+01,-5.856739044189453125e+00,1.895751953125000000e+01
-2.995475196838378906e+01,-1.978187561035156250e-01,1.840908432006835938e+01,-5.793334960937500000e+00,2.014764022827148438e+01
-2.975563812255859375e+01,-2.461814880371093750e-01,1.865563583374023438e+01,-5.644184112548828125e+00,2.136236190795898438e+01
-2.939871215820312500e+01,-1.462478637695312500e-01,1.899805831909179688e+01,-5.412311553955078125e+00,2.257876968383789062e+01
-2.897974395751953125e+01,3.021240234375000000e-02,1.943459701538085938e+01,-5.080410003662109375e+00,2.380255126953125000e+01
-2.853506469726562500e+01,3.410415649414062500e-01,1.991534805297851562e+01,-4.798576354980468750e+00,2.503349304199218750e+01
-2.827330017089843750e+01,5.694694519042968750e-01,2.021581649780273438e+01,-4.634334564208984375e+00,2.569035720825195312e+01
-2.875071907043457031e+01,1.731262207031250000e-01,1.969414138793945312e+01,-4.922981262207031250e+00,2.447281646728515625e+01
-2.917545700073242188e+01,-5.547332763671875000e-02,1.923153305053710938e+01,-5.231479644775390625e+00,2.324441528320312500e+01
-2.957813072204589844e+01,-2.058448791503906250e-01,1.882427597045898438e+01,-5.530277252197265625e+00,2.202571487426757812e+01
-2.987094116210937500e+01,-2.393646240234375000e-01,1.854085922241210938e+01,-5.725967407226562500e+00,2.079840850830078125e+01
-3.000641632080078125e+01,-1.459999084472656250e-01,1.832186508178710938e+01,-5.835391998291015625e+00,1.961020278930664062e+01
-3.001975059509277344e+01,3.469848632812500000e-02,1.821000289916992188e+01,-5.832275390625000000e+00,1.840088653564453125e+01
-2.999077415466308594e+01,2.412376403808593750e-01,1.812005996704101562e+01,-5.728454589843750000e+00,1.717313766479492188e+01
-2.993487739562988281e+01,4.574623107910156250e-01,1.801834487915039062e+01,-5.571063995361328125e+00,1.594595718383789062e+01
-2.987598800659179688e+01,6.360816955566406250e-01,1.783592605590820312e+01,-5.437358856201171875e+00,1.468043899536132812e+01
-2.975540351867675781e+01,7.819900512695312500e-01,1.757337570190429688e+01,-5.339572906494140625e+00,1.338090133666992188e+01
-2.967865371704101562e+01,9.033126831054687500e-01,1.728171157836914062e+01,-5.254867553710937500e+00,1.212902832031250000e+01
-2.960992622375488281e+01,9.873199462890625000e-01,1.695227432250976562e+01,-5.161746978759765625e+00,1.086635589599609375e+01
-2.923362731933593750e+01,1.016174316406250000e+00,1.646753311157226562e+01,-5.010192871093750000e+00,9.959472656250000000e+00
-2.856936645507812500e+01,9.815750122070312500e-01,1.579286575317382812e+01,-4.774272918701171875e+00,9.478372573852539062e+00
-2.790031433105468750e+01,9.540252685546875000e-01,1.513892745971679688e+01,-4.525917053222656250e+00,9.002611160278320312e+00
-2.723105049133300781e+01,9.458580017089843750e-01,1.450741195678710938e+01,-4.263351440429687500e+00,8.541358947753906250e+00
-2.657033729553222656e+01,9.374847412109375000e-01,1.386444473266601562e+01,-4.003330230712890625e+00,8.077987670898437500e+00
-2.591567420959472656e+01,9.183883666992187500e-01,1.320383834838867188e+01,-3.739135742187500000e+00,7.610147476196289062e+00
-2.526219558715820312e+01,8.944168090820312500e-01,1.253989410400390625e+01,-3.474578857421875000e+00,7.141273498535156250e+00
-2.460462570190429688e+01,8.619880676269531250e-01,1.187075042724609375e+01,-3.206489562988281250e+00,6.672233581542968750e+00
-2.395014572143554688e+01,8.249168395996093750e-01,1.117089843750000000e+01,-2.964603424072265625e+00,6.214351654052734375e+00
-2.329196357727050781e+01,7.835617065429687500e-01,1.046100616455078125e+01,-2.811992645263671875e+00,5.766687393188476562e+00
-2.262599182128906250e+01,7.384529113769531250e-01,9.754062652587890625e+00,-2.669940948486328125e+00,5.326492309570312500e+00
-2.194992065429687500e+01,6.908035278320312500e-01,9.051086425781250000e+00,-2.541355133056640625e+00,4.891019821166992188e+00
-2.126852607727050781e+01,6.433715820312500000e-01,8.364318847656250000e+00,-2.395503997802734375e+00,4.460144042968750000e+00
-2.058682441711425781e+01,5.936203002929687500e-01,7.688316345214843750e+00,-2.229797363281250000e+00,4.033185958862304688e+00
-1.989295387268066406e+01,5.427818298339843750e-01,7.028747558593750000e+00,-2.063453674316406250e+00,3.620162963867187500e+00
-1.919915390014648438e+01,4.810218811035156250e-01,6.432224273681640625e+00,-1.860507965087890625e+00,3.231769561767578125e+00
-1.854971694946289062e+01,3.873558044433593750e-01,5.921199798583984375e+00,-1.620353698730468750e+00,2.871234893798828125e+00
-1.793647384643554688e+01,3.266487121582031250e-01,5.485725402832031250e+00,-1.390823364257812500e+00,2.569417953491210938e+00
-1.732238006591796875e+01,2.665710449218750000e-01,5.059547424316406250e+00,-1.158878326416015625e+00,2.275987625122070312e+00
-1.672080993652343750e+01,1.957321166992187500e-01,4.632888793945312500e+00,-9.427413940429687500e-01,1.994518280029296875e+00
-1.611656188964843750e+01,1.255187988281250000e-01,4.213623046875000000e+00,-7.301254272460937500e-01,1.721200942993164062e+00
-1.550133132934570312e+01,7.057571411132812500e-02,3.861309051513671875e+00,-6.206741333007812500e-01,1.455335617065429688e+00
-1.483615875244140625e+01,-2.483367919921875000e-03,3.532741546630859375e+00,-5.461006164550781250e-01,1.196319580078125000e+00
-1.413457489013671875e+01,-1.149482727050781250e-01,3.306316375732421875e+00,-5.217285156250000000e-01,9.612140655517578125e-01
-1.343365478515625000e+01,-2.196617126464843750e-01,3.105224609375000000e+00,-5.086135864257812500e-01,7.378292083740234375e-01
-1.272047042846679688e+01,-3.162879943847656250e-01,2.902366638183593750e+00,-4.987335205078125000e-01,5.224304199218750000e-01
-1.200179672241210938e+01,-4.005393981933593750e-01,2.697769165039062500e+00,-4.789695739746093750e-01,3.086490631103515625e-01
-1.128075790405273438e+01,-4.648742675781250000e-01,2.601024627685546875e+00,-3.857307434082031250e-01,1.063442230224609375e-01
-1.056344985961914062e+01,-5.323524475097656250e-01,2.542797088623046875e+00,-2.733802795410156250e-01,-8.948516845703125000e-02
-9.860687255859375000e+00,-6.014060974121093750e-01,2.478115081787109375e+00,-1.593856811523437500e-01,-2.848148345947265625e-01
-9.184535980224609375e+00,-6.670074462890625000e-01,2.394615173339843750e+00,-3.722000122070312500e-02,-4.768028259277343750e-01
-8.483757019042968750e+00,-7.457351684570312500e-01,2.322135925292968750e+00,7.101821899414062500e-02,-6.585006713867187500e-01
-7.771930694580078125e+00,-8.332328796386718750e-01,2.250713348388671875e+00,1.544837951660156250e-01,-8.384017944335937500e-01
-7.047431945800781250e+00,-9.386100769042968750e-01,2.210632324218750000e+00,2.510070800781250000e-01,-1.009899139404296875e+00
-6.295108795166015625e+00,-1.043212890625000000e+00,2.229068756103515625e+00,3.191528320312500000e-01,-1.170112609863281250e+00
-5.527740478515625000e+00,-1.115173339843750000e+00,2.332324981689453125e+00,2.993240356445312500e-01,-1.298023223876953125e+00
-4.744247436523437500e+00,-1.209251403808593750e+00,2.440536499023437500e+00,2.819824218750000000e-01,-1.402376174926757812e+00
-3.949832916259765625e+00,-1.294624328613281250e+00,2.557853698730468750e+00,2.637634277343750000e-01,-1.495605468750000000e+00
-3.147891998291015625e+00,-1.376945495605468750e+00,2.661548614501953125e+00,2.540397644042968750e-01,-1.585168838500976562e+00
-2.316154479980468750e+00,-1.474533081054687500e+00,2.785110473632812500e+00,2.336769104003906250e-01,-1.661613464355468750e+00
-1.511104583740234375e+00,-1.626258850097656250e+00,2.900436401367187500e+00,1.773643493652343750e-01,-1.687261581420898438e+00
-7.808113098144531250e-01,-1.826965332031250000e+00,3.003162384033203125e+00,8.264541625976562500e-02,-1.606491088867187500e+00
-5.712509155273437500e-02,-2.043407440185546875e+00,3.073600769042968750e+00,1.279067993164062500e-02,-1.482460021972656250e+00
6.798248291015625000e-01,-2.261100769042968750e+00,3.151409149169921875e+00,-5.701828002929687500e-02,-1.353357315063476562e+00
1.429256439208984375e+00,-2.474765777587890625e+00,3.233749389648437500e+00,-1.378211975097656250e-01,-1.220447540283203125e+00
2.194953918457031250e+00,-2.673770904541015625e+00,3.307079315185546875e+00,-2.092666625976562500e-01,-1.088727951049804688e+00
2.973674774169921875e+00,-2.879035949707031250e+00,3.366634368896484375e+00,-2.770957946777343750e-01,-9.555187225341796875e-01
3.770069122314453125e+00,-3.095405578613281250e+00,3.379318237304687500e+00,-3.199996948242187500e-01,-8.273181915283203125e-01
4.565376281738281250e+00,-3.306949615478515625e+00,3.391368865966796875e+00,-3.599929809570312500e-01,-6.995315551757812500e-01
5.360336303710937500e+00,-3.499526977539062500e+00,3.393772125244140625e+00,-3.921928405761718750e-01,-5.717315673828125000e-01
6.157409667968750000e+00,-3.707607269287109375e+00,3.381103515625000000e+00,-4.164848327636718750e-01,-4.266338348388671875e-01
6.989616394042968750e+00,-3.963699340820312500e+00,3.361770629882812500e+00,-4.342956542968750000e-01,-2.430744171142578125e-01
7.837478637695312500e+00,-4.201412200927734375e+00,3.104423522949218750e+00,-5.804824829101562500e-01,5.197525024414062500e-03
8.691383361816406250e+00,-4.412792205810546875e+00,2.785526275634765625e+00,-7.597770690917968750e-01,2.696189880371093750e-01
9.546417236328125000e+00,-4.610881805419921875e+00,2.494659423828125000e+00,-9.409179687500000000e-01,5.318088531494140625e-01
1.043019104003906250e+01,-4.842292785644531250e+00,2.176540374755859375e+00,-1.092235565185546875e+00,7.957153320312500000e-01
1.130960083007812500e+01,-5.112037658691406250e+00,1.778453826904296875e+00,-1.191268920898437500e+00,1.075141906738281250e+00
1.216048431396484375e+01,-5.353309631347656250e+00,1.334789276123046875e+00,-1.225082397460937500e+00,1.380067825317382812e+00
1.297681808471679688e+01,-5.559471130371093750e+00,8.414916992187500000e-01,-1.235679626464843750e+00,1.717458724975585938e+00
1.377711868286132812e+01,-5.744869232177734375e+00,3.406524658203125000e-01,-1.252212524414062500e+00,2.063764572143554688e+00
1.457629776000976562e+01,-5.929176330566406250e+00,-1.632537841796875000e-01,-1.257575988769531250e+00,2.425323486328125000e+00
1.541102218627929688e+01,-6.098274230957031250e+00,-7.267646789550781250e-01,-1.285850524902343750e+00,2.811325073242187500e+00
1.630058670043945312e+01,-6.279861450195312500e+00,-1.362339019775390625e+00,-1.344734191894531250e+00,3.223016738891601562e+00
1.727727890014648438e+01,-6.456291198730468750e+00,-2.053405761718750000e+00,-1.351684570312500000e+00,3.668251037597656250e+00
1.824608230590820312e+01,-6.636531829833984375e+00,-2.759693145751953125e+00,-1.339508056640625000e+00,4.127655029296875000e+00
1.918018722534179688e+01,-6.807071685791015625e+00,-3.579940795898437500e+00,-1.249137878417968750e+00,4.610055923461914062e+00
2.012914657592773438e+01,-6.948089599609375000e+00,-4.466732025146484375e+00,-1.203430175781250000e+00,5.119043350219726562e+00
2.108896255493164062e+01,-7.079135894775390625e+00,-5.352825164794921875e+00,-1.172676086425781250e+00,5.637929916381835938e+00
2.205363082885742188e+01,-7.200244903564453125e+00,-6.245861053466796875e+00,-1.115699768066406250e+00,6.148023605346679688e+00
2.303407669067382812e+01,-7.283779144287109375e+00,-7.192634582519531250e+00,-9.622726440429687500e-01,6.642652511596679688e+00
2.401740646362304688e+01,-7.328441619873046875e+00,-8.163425445556640625e+00,-6.930541992187500000e-01,7.171688079833984375e+00
2.499489974975585938e+01,-7.347293853759765625e+00,-9.104297637939453125e+00,-4.257965087890625000e-01,7.695735931396484375e+00
2.600511550903320312e+01,-7.422111511230468750e+00,-1.014698028564453125e+01,-1.584968566894531250e-01,8.243186950683593750e+00
2.701637649536132812e+01,-7.521728515625000000e+00,-1.120479202270507812e+01,1.160736083984375000e-01,8.804798126220703125e+00
2.801195907592773438e+01,-7.622192382812500000e+00,-1.231052017211914062e+01,3.854255676269531250e-01,9.362819671630859375e+00
2.901025009155273438e+01,-7.717605590820312500e+00,-1.344245529174804688e+01,6.456947326660156250e-01,9.926980972290039062e+00
2.937466812133789062e+01,-7.368652343750000000e+00,-1.394068145751953125e+01,9.514617919921875000e-01,1.079898452758789062e+01
2.945016098022460938e+01,-6.808357238769531250e+00,-1.416359710693359375e+01,1.222175598144531250e+00,1.189129257202148438e+01
2.952608108520507812e+01,-6.279880523681640625e+00,-1.445156097412109375e+01,1.417243957519531250e+00,1.299546432495117188e+01
2.958084487915039062e+01,-5.687290191650390625e+00,-1.470976638793945312e+01,1.604473114013671875e+00,1.408767700195312500e+01
2.962013626098632812e+01,-5.057464599609375000e+00,-1.487696075439453125e+01,1.913631439208984375e+00,1.521029663085937500e+01
2.968906784057617188e+01,-4.500900268554687500e+00,-1.495907211303710938e+01,2.265121459960937500e+00,1.635291671752929688e+01
2.983913040161132812e+01,-3.962150573730468750e+00,-1.519609832763671875e+01,2.530017852783203125e+00,1.742566299438476562e+01
3.000311660766601562e+01,-3.370544433593750000e+00,-1.550196838378906250e+01,2.757938385009765625e+00,1.851370620727539062e+01
3.022082901000976562e+01,-2.798793792724609375e+00,-1.581267166137695312e+01,3.025592803955078125e+00,1.960892868041992188e+01
3.051408767700195312e+01,-2.206909179687500000e+00,-1.614306259155273438e+01,3.369628906250000000e+00,2.069330596923828125e+01
3.080186080932617188e+01,-1.613193511962890625e+00,-1.648469543457031250e+01,3.670394897460937500e+00,2.179376220703125000e+01
3.106453323364257812e+01,-1.038787841796875000e+00,-1.694609069824218750e+01,3.864574432373046875e+00,2.292455673217773438e+01
3.135896682739257812e+01,-4.403305053710937500e-01,-1.746192169189453125e+01,4.003978729248046875e+00,2.410131454467773438e+01
3.112958908081054688e+01,-9.048576354980468750e-01,-1.706282043457031250e+01,3.900531768798828125e+00,2.319144058227539062e+01
3.085818099975585938e+01,-1.480060577392578125e+00,-1.657777404785156250e+01,3.722728729248046875e+00,2.204725646972656250e+01
3.058742904663085938e+01,-2.074214935302734375e+00,-1.621218109130859375e+01,3.443790435791015625e+00,2.094253158569335938e+01
3.028442764282226562e+01,-2.666732788085937500e+00,-1.588329696655273438e+01,3.099617004394531250e+00,1.985533523559570312e+01
3.004713058471679688e+01,-3.238555908203125000e+00,-1.557402801513671875e+01,2.816211700439453125e+00,1.876250457763671875e+01
2.987643814086914062e+01,-3.829463958740234375e+00,-1.526447296142578125e+01,2.580688476562500000e+00,1.767270660400390625e+01
2.971680831909179688e+01,-4.382904052734375000e+00,-1.499872589111328125e+01,2.334823608398437500e+00,1.660408401489257812e+01
2.963090133666992188e+01,-4.923149108886718750e+00,-1.489900588989257812e+01,1.991283416748046875e+00,1.546997070312500000e+01
2.958266067504882812e+01,-5.541103363037109375e+00,-1.475624847412109375e+01,1.659435272216796875e+00,1.434020996093750000e+01
2.954021835327148438e+01,-6.152416229248046875e+00,-1.451186752319335938e+01,1.459259033203125000e+00,1.324493789672851562e+01
