dtm_13,dtm_24,de_13,de_24,dl
4.920997619628906250e-01,-2.432861328125000000e-01,2.946090698242187500e+00,4.697303771972656250e-01,3.495952606201171875e+00
4.335060119628906250e-01,7.698440551757812500e-02,1.845119476318359375e+00,-4.045497894287109375e+00,3.476123809814453125e+00
3.284759521484375000e-01,2.556037902832031250e-01,5.469562530517578125e+00,-4.568592071533203125e+00,3.965112686157226562e+00
4.367713928222656250e-01,1.107444763183593750e-01,4.504745483398437500e+00,-5.163249969482421875e+00,3.788316726684570312e+00
1.911537170410156250e+00,-4.599380493164062500e-02,2.622600555419921875e+00,-5.088729858398437500e+00,3.279785156250000000e+00
1.962181091308593750e+00,1.465263366699218750e-01,3.124198913574218750e+00,-4.967163085937500000e+00,3.384019851684570312e+00
1.337860107421875000e+00,3.607749938964843750e-01,-7.845077514648437500e-01,-5.044509887695312500e+00,3.200565338134765625e+00
-4.083824157714843750e-01,3.049308776855468750e+00,-1.394462585449218750e-01,-2.850440979003906250e+00,2.430101394653320312e+00
1.999664306640625000e-01,3.175178527832031250e+00,-9.998321533203125000e-02,-2.732288360595703125e+00,2.493970870971679688e+00
3.821247100830078125e+00,1.664802551269531250e+00,-2.358741760253906250e-01,-3.655662536621093750e-01,2.108613967895507812e+00
3.169452667236328125e+00,2.651668548583984375e+00,1.850070953369140625e+00,-1.660400390625000000e+00,2.370859146118164062e+00
5.471809387207031250e+00,8.948974609375000000e-01,-6.930160522460937500e-02,2.488265991210937500e+00,3.245532989501953125e+00
3.953903198242187500e+00,-1.842758178710937500e+00,-3.204689025878906250e-01,1.325855255126953125e+00,2.948793411254882812e+00
3.454448699951171875e+00,-9.171104431152343750e-01,-4.160385131835937500e-01,5.721931457519531250e-01,2.661699295043945312e+00
2.145431518554687500e+00,2.874603271484375000e-01,-4.748916625976562500e-01,-5.701065063476562500e-02,2.489593505859375000e+00
-8.731460571289062500e-01,2.655029296875000000e-02,-1.828689575195312500e+00,-2.474529266357421875e+00,2.635869979858398438e+00
-1.111042022705078125e+00,-7.608337402343750000e-01,-3.923156738281250000e+00,2.640274047851562500e+00,2.253599166870117188e+00
-5.609283447265625000e-01,-3.586410522460937500e+00,-4.970912933349609375e+00,3.257595062255859375e+00,3.454549789428710938e+00
-8.076591491699218750e-01,-4.635929107666015625e+00,-6.120483398437500000e+00,-1.950244903564453125e+00,3.642564773559570312e+00
-3.258663177490234375e+00,-5.213771820068359375e+00,-8.463584899902343750e+00,-7.134212493896484375e+00,5.658510208129882812e+00
-3.320297241210937500e+00,-6.362419128417968750e+00,-9.997962951660156250e+00,-5.152416229248046875e+00,6.245361328125000000e+00
-1.335346221923828125e+00,-6.380455017089843750e+00,-8.398376464843750000e+00,-3.491226196289062500e+00,6.821535110473632812e+00
-4.287990570068359375e+00,-3.221736907958984375e+00,-8.469390869140625000e+00,4.020023345947265625e+00,7.002571105957031250e+00
-5.947685241699218750e+00,-4.431598663330078125e+00,-4.561244964599609375e+00,4.755496978759765625e+00,6.822408676147460938e+00
-5.294479370117187500e+00,-2.858768463134765625e+00,-4.157062530517578125e+00,4.212802886962890625e+00,6.074298858642578125e+00
-7.956192016601562500e+00,-2.234355926513671875e+00,9.808769226074218750e-01,7.507785797119140625e+00,7.324050903320312500e+00
-7.011585235595703125e+00,-1.949802398681640625e+00,2.200252532958984375e+00,8.614383697509765625e+00,8.089311599731445312e+00
-1.056700134277343750e+01,-2.749191284179687500e+00,-4.210121154785156250e+00,4.143764495849609375e+00,8.383914947509765625e+00
-1.028831863403320312e+01,-1.080860137939453125e+00,6.039466857910156250e+00,7.754859924316406250e-01,7.677646636962890625e+00
-1.060439300537109375e+01,-1.447093963623046875e+00,1.095185852050781250e+01,1.957172393798828125e+00,8.211116790771484375e+00
-1.080250930786132812e+01,-5.421333312988281250e-01,5.990943908691406250e+00,-5.966835021972656250e+00,8.541351318359375000e+00
-7.666683197021484375e+00,-3.007270812988281250e+00,3.432849884033203125e+00,-4.040611267089843750e+00,7.228588104248046875e+00
-6.664627075195312500e+00,-3.507385253906250000e+00,4.019500732421875000e+00,-2.929428100585937500e+00,7.202474594116210938e+00
-4.205181121826171875e+00,-7.255882263183593750e+00,-7.136371612548828125e+00,-2.460403442382812500e+00,8.300519943237304688e+00
-2.473907470703125000e+00,-4.468029022216796875e+00,-4.455165863037109375e+00,-1.180923461914062500e+00,5.233489990234375000e+00
