1,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(kN),(deg),(N-m)
"","0.0000","1.6502","0.0002","-0.0009","-0.00007"
"","0.0200","1.6502","0.0002","-0.0009","-0.00006"
"","0.0400","1.6502","0.0002","-0.0009","-0.00006"
"","0.0600","1.6502","0.0002","-0.0009","-0.00006"
"","0.0800","1.6502","0.0002","-0.0009","-0.00006"
"","0.1000","1.6502","0.0002","-0.0009","-0.00007"
"","0.1200","1.6502","0.0002","-0.0009","-0.00008"
"","0.1400","1.6502","0.0002","-0.0009","-0.00007"
"","0.1600","1.6502","0.0002","-0.0006","-0.00007"
"","0.1800","1.6502","0.0002","0.0009","-0.00006"
"","0.2000","1.6502","0.0002","0.0124","-0.00006"
"","0.2200","1.6502","0.0002","0.0349","-0.00005"
"","0.2400","1.6502","0.0002","0.0579","-0.00004"
"","0.2600","1.6502","0.0002","0.0801","-0.00003"
"","0.2800","1.6502","0.0002","0.1025","-0.00003"
"","0.3000","1.6502","0.0002","0.1261","-0.00003"
"","0.3200","1.6502","0.0002","0.1507","-0.00002"
"","0.3400","1.6502","0.0002","0.1752","-0.00002"
"","0.3600","1.6502","0.0002","0.1989","-0.00003"
"","0.3800","1.6502","0.0002","0.2216","-0.00002"
"","0.4000","1.6502","0.0002","0.2436","-0.00001"
"","0.4200","1.6502","0.0002","0.2656","-0.00001"
"","0.4400","1.6502","0.0002","0.2873","-0.00001"
"","0.4600","1.6502","0.0002","0.3082","-0.00002"
"","0.4800","1.6502","0.0002","0.3277","-0.00002"
"","0.5000","1.6502","0.0002","0.3464","-0.00002"
"","0.5200","1.6502","0.0002","0.3644","-0.00002"
"","0.5400","1.6502","0.0002","0.3823","-0.00004"
"","0.5600","1.6502","0.0002","0.4006","-0.00003"
"","0.5800","1.6502","0.0002","0.4194","-0.00003"
"","0.6000","1.6502","0.0002","0.4388","-0.00003"
"","0.6200","1.6502","0.0002","0.4588","-0.00003"
"","0.6400","1.6502","0.0002","0.4799","-0.00002"
"","0.6600","1.6502","0.0002","0.5020","-0.00005"
"","0.6800","1.6502","0.0002","0.5249","-0.00004"
"","0.7000","1.6502","0.0002","0.5481","-0.00002"
"","0.7200","1.6502","0.0002","0.5707","-0.00001"
"","0.7400","1.6502","0.0002","0.5917","-0.00001"
"","0.7600","1.6502","0.0002","0.6108","-0.00001"
"","0.7800","1.6502","0.0002","0.6293","-0.00001"
"","0.8000","1.6502","0.0002","0.6469","0.00007"
"","0.8200","1.6502","0.0002","0.6651","0.00036"
"","0.8400","1.6502","0.0002","0.6849","0.00052"
"","0.8600","1.6502","0.0002","0.7039","0.00054"
"","0.8800","1.6502","0.0002","0.7214","0.00052"
"","0.9000","1.6502","0.0002","0.7385","0.00051"
"","0.9200","1.6502","0.0002","0.7564","0.00052"
"","0.9400","1.6502","0.0002","0.7748","0.00053"
"","0.9600","1.6502","0.0002","0.7935","0.00052"
"","0.9800","1.6502","0.0002","0.8127","0.00053"
"","1.0000","1.6502","0.0002","0.8328","0.00055"
"","1.0200","1.6502","0.0002","0.8539","0.00054"
