Format Version,1.24,Take Name,Take 2025-04-01 01.55.23 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-01 01.55.23.678 PM,Capture Start Frame,6940146,Total Frames in Take,8758,Total Exported Frames,8758,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005:Marker 001,Rigid Body 005:Marker 001,Rigid Body 005:Marker 001,Rigid Body 005:Marker 002,Rigid Body 005:Marker 002,Rigid Body 005:Marker 002,Rigid Body 005:Marker 003,Rigid Body 005:Marker 003,Rigid Body 005:Marker 003,Rigid Body 005:Marker 004,Rigid Body 005:Marker 004,Rigid Body 005:Marker 004,Rigid Body 005:Marker 005,Rigid Body 005:Marker 005,Rigid Body 005:Marker 005,Rigid Body 005:Marker 006,Rigid Body 005:Marker 006,Rigid Body 005:Marker 006,Rigid Body 005:Marker 001,Rigid Body 005:Marker 001,Rigid Body 005:Marker 001,Rigid Body 005:Marker 002,Rigid Body 005:Marker 002,Rigid Body 005:Marker 002,Rigid Body 005:Marker 003,Rigid Body 005:Marker 003,Rigid Body 005:Marker 003,Rigid Body 005:Marker 004,Rigid Body 005:Marker 004,Rigid Body 005:Marker 004,Rigid Body 005:Marker 005,Rigid Body 005:Marker 005,Rigid Body 005:Marker 005,Rigid Body 005:Marker 006,Rigid Body 005:Marker 006,Rigid Body 005:Marker 006,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076,Unlabeled 1077,Unlabeled 1077,Unlabeled 1077,Unlabeled 1078,Unlabeled 1078,Unlabeled 1078,Unlabeled 1079,Unlabeled 1079,Unlabeled 1079,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081,Unlabeled 1082,Unlabeled 1082,Unlabeled 1082,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1084,Unlabeled 1084,Unlabeled 1084,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1092,Unlabeled 1092,Unlabeled 1092,Unlabeled 1093,Unlabeled 1093,Unlabeled 1093,Unlabeled 1094,Unlabeled 1094,Unlabeled 1094,Unlabeled 1095,Unlabeled 1095,Unlabeled 1095,Unlabeled 1097,Unlabeled 1097,Unlabeled 1097,Unlabeled 1098,Unlabeled 1098,Unlabeled 1098,Unlabeled 1099,Unlabeled 1099,Unlabeled 1099,Unlabeled 1100,Unlabeled 1100,Unlabeled 1100,Unlabeled 1101,Unlabeled 1101,Unlabeled 1101,Unlabeled 1102,Unlabeled 1102,Unlabeled 1102,Unlabeled 1103,Unlabeled 1103,Unlabeled 1103
,ID,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,"79E6F3EB0F2211F0A6D181647A6843AC","79E6F3EB0F2211F0A6D181647A6843AC","79E6F3EB0F2211F0A6D181647A6843AC","79E6F3EF0F2211F0A6D181647A6843AC","79E6F3EF0F2211F0A6D181647A6843AC","79E6F3EF0F2211F0A6D181647A6843AC","79E6F3EE0F2211F0A6D181647A6843AC","79E6F3EE0F2211F0A6D181647A6843AC","79E6F3EE0F2211F0A6D181647A6843AC","79E6F3EA0F2211F0A6D181647A6843AC","79E6F3EA0F2211F0A6D181647A6843AC","79E6F3EA0F2211F0A6D181647A6843AC","79E6F3ED0F2211F0A6D181647A6843AC","79E6F3ED0F2211F0A6D181647A6843AC","79E6F3ED0F2211F0A6D181647A6843AC","79E6F3EC0F2211F0A6D181647A6843AC","79E6F3EC0F2211F0A6D181647A6843AC","79E6F3EC0F2211F0A6D181647A6843AC","AFE337F861098511F0","AFE337F861098511F0","AFE337F861098511F0","AFF337F861098511F0","AFF337F861098511F0","AFF337F861098511F0","B00337F861098511F0","B00337F861098511F0","B00337F861098511F0","B07337F861098511F0","B07337F861098511F0","B07337F861098511F0","B08337F861098511F0","B08337F861098511F0","B08337F861098511F0","B09337F861098511F0","B09337F861098511F0","B09337F861098511F0","B0A337F861098511F0","B0A337F861098511F0","B0A337F861098511F0","B0B337F861098511F0","B0B337F861098511F0","B0B337F861098511F0","B0C337F861098511F0","B0C337F861098511F0","B0C337F861098511F0","B0D337F861098511F0","B0D337F861098511F0","B0D337F861098511F0","B0E337F861098511F0","B0E337F861098511F0","B0E337F861098511F0","B0F337F861098511F0","B0F337F861098511F0","B0F337F861098511F0","B10337F861098511F0","B10337F861098511F0","B10337F861098511F0","B11337F861098511F0","B11337F861098511F0","B11337F861098511F0","B12337F861098511F0","B12337F861098511F0","B12337F861098511F0","B13337F861098511F0","B13337F861098511F0","B13337F861098511F0","B14337F861098511F0","B14337F861098511F0","B14337F861098511F0","B15337F861098511F0","B15337F861098511F0","B15337F861098511F0","B16337F861098511F0","B16337F861098511F0","B16337F861098511F0","B17337F861098511F0","B17337F861098511F0","B17337F861098511F0","B18337F861098511F0","B18337F861098511F0","B18337F861098511F0","B19337F861098511F0","B19337F861098511F0","B19337F861098511F0","B1A337F861098511F0","B1A337F861098511F0","B1A337F861098511F0","B1B337F861098511F0","B1B337F861098511F0","B1B337F861098511F0","B1C337F861098511F0","B1C337F861098511F0","B1C337F861098511F0","B1D337F861098511F0","B1D337F861098511F0","B1D337F861098511F0","B1E337F861098511F0","B1E337F861098511F0","B1E337F861098511F0","B20337F861098511F0","B20337F861098511F0","B20337F861098511F0","B21337F861098511F0","B21337F861098511F0","B21337F861098511F0","B22337F861098511F0","B22337F861098511F0","B22337F861098511F0","B23337F861098511F0","B23337F861098511F0","B23337F861098511F0","B24337F861098511F0","B24337F861098511F0","B24337F861098511F0","B25337F861098511F0","B25337F861098511F0","B25337F861098511F0","B26337F861098511F0","B26337F861098511F0","B26337F861098511F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000119,0.024039,-0.004248,0.999702,0.475977,312.535065,42.036610,92.384544,310.078552,82.675568,100.686714,310.685852,34.754681,-55.838211,315.506287,-41.380913,-9.243434,314.578461,-57.969936,-43.542896,311.261932,132.996109,-81.591187,313.099457,101.143997,92.395073,309.965271,82.695572,100.659729,310.815430,34.631012,-55.848331,315.489655,-41.281960,-9.159869,314.551727,-57.924755,-43.579636,311.258453,133.002411,-81.609970,313.135559,101.090904,-439.764038,12.252526,-462.510315,-449.552521,12.926107,-426.191528,-394.119965,14.442901,-408.187012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.000115,0.024037,-0.004249,0.999702,0.475506,312.534210,42.036137,92.383926,310.077759,82.675415,100.686256,310.684662,34.754551,-55.838402,315.504913,-41.381596,-9.243573,314.576904,-57.970459,-43.543667,311.261871,132.995499,-81.591858,313.099243,101.143250,92.392876,309.968750,82.696602,100.658791,310.809937,34.631874,-55.849941,315.488312,-41.281944,-9.159101,314.550415,-57.927204,-43.579052,311.256683,133.000198,-81.609810,313.135864,101.090874,-439.764862,12.247009,-462.512085,-449.551819,12.924166,-426.192810,-394.120300,14.446623,-408.189697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.000116,0.024031,-0.004245,0.999702,0.475300,312.531738,42.036163,92.383278,310.075806,82.676498,100.686157,310.682922,34.755733,-55.837669,315.502289,-41.382206,-9.242637,314.574646,-57.970535,-43.544918,311.258789,132.995026,-81.592743,313.095978,101.142334,92.394295,309.963959,82.697945,100.659218,310.811646,34.630852,-55.847725,315.485992,-41.281532,-9.158453,314.546844,-57.926857,-43.581520,311.252991,133.000671,-81.612984,313.133209,101.089424,-439.768188,12.241184,-462.514465,-449.555817,12.910231,-426.196960,-394.120514,14.433541,-408.194183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.000115,0.024031,-0.004243,0.999702,0.476215,312.536011,42.037388,92.384171,310.080566,82.677811,100.687088,310.687622,34.757057,-55.836685,315.506195,-41.381042,-9.241637,314.578705,-57.969330,-43.544079,311.263000,132.996201,-81.591888,313.099945,101.143478,92.395081,309.970276,82.699402,100.657890,310.815186,34.632778,-55.846359,315.490082,-41.281322,-9.157504,314.553253,-57.925854,-43.579975,311.260010,133.003525,-81.610260,313.135925,101.090141,-439.764557,12.249611,-462.512360,-449.554535,12.925903,-426.191528,-394.118195,14.445459,-408.190369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.000124,0.024027,-0.004233,0.999702,0.475091,312.530548,42.036705,92.382774,310.076172,82.677795,100.686050,310.684235,34.757114,-55.837223,315.501068,-41.382103,-9.242025,314.574768,-57.970047,-43.545887,311.255157,132.995163,-81.593483,313.091919,101.142166,92.391350,309.963898,82.697830,100.658745,310.813690,34.635117,-55.846340,315.483856,-41.282578,-9.159611,314.547913,-57.926319,-43.580959,311.248840,133.000153,-81.611740,313.130920,101.089760,-439.768158,12.244620,-462.514404,-449.552917,12.924310,-426.191315,-394.121918,14.436327,-408.189758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.000114,0.024027,-0.004247,0.999702,0.476768,312.535400,42.037365,92.384384,310.079346,82.678513,100.687675,310.686188,34.757816,-55.835461,315.505768,-41.381504,-9.240290,314.577911,-57.969433,-43.544247,311.263031,132.995850,-81.591789,313.100220,101.142807,92.395035,309.968506,82.697365,100.658699,310.815216,34.634922,-55.843681,315.489014,-41.281052,-9.156057,314.552765,-57.925304,-43.580894,311.259064,133.002106,-81.609787,313.140167,101.090736,-439.764038,12.253367,-462.511108,-449.551575,12.925981,-426.192017,-394.118256,14.446867,-408.187103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
