Format Version,1.24,Take Name,Take 2025-04-01 03.36.33 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-01 03.36.34.122 PM,Capture Start Frame,7668650,Total Frames in Take,7035,Total Exported Frames,7035,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005,Rigid Body 005:Marker 001,Rigid Body 005:Marker 001,Rigid Body 005:Marker 001,Rigid Body 005:Marker 002,Rigid Body 005:Marker 002,Rigid Body 005:Marker 002,Rigid Body 005:Marker 003,Rigid Body 005:Marker 003,Rigid Body 005:Marker 003,Rigid Body 005:Marker 004,Rigid Body 005:Marker 004,Rigid Body 005:Marker 004,Rigid Body 005:Marker 005,Rigid Body 005:Marker 005,Rigid Body 005:Marker 005,Rigid Body 005:Marker 006,Rigid Body 005:Marker 006,Rigid Body 005:Marker 006,Rigid Body 005:Marker 001,Rigid Body 005:Marker 001,Rigid Body 005:Marker 001,Rigid Body 005:Marker 002,Rigid Body 005:Marker 002,Rigid Body 005:Marker 002,Rigid Body 005:Marker 003,Rigid Body 005:Marker 003,Rigid Body 005:Marker 003,Rigid Body 005:Marker 004,Rigid Body 005:Marker 004,Rigid Body 005:Marker 004,Rigid Body 005:Marker 005,Rigid Body 005:Marker 005,Rigid Body 005:Marker 005,Rigid Body 005:Marker 006,Rigid Body 005:Marker 006,Rigid Body 005:Marker 006,Unlabeled 6129,Unlabeled 6129,Unlabeled 6129,Unlabeled 6130,Unlabeled 6130,Unlabeled 6130,Unlabeled 6131,Unlabeled 6131,Unlabeled 6131,Unlabeled 6132,Unlabeled 6132,Unlabeled 6132,Unlabeled 6133,Unlabeled 6133,Unlabeled 6133,Unlabeled 6134,Unlabeled 6134,Unlabeled 6134,Unlabeled 6135,Unlabeled 6135,Unlabeled 6135,Unlabeled 6136,Unlabeled 6136,Unlabeled 6136,Unlabeled 6137,Unlabeled 6137,Unlabeled 6137,Unlabeled 6138,Unlabeled 6138,Unlabeled 6138,Unlabeled 6139,Unlabeled 6139,Unlabeled 6139,Unlabeled 6140,Unlabeled 6140,Unlabeled 6140,Unlabeled 6142,Unlabeled 6142,Unlabeled 6142,Unlabeled 6143,Unlabeled 6143,Unlabeled 6143,Unlabeled 6144,Unlabeled 6144,Unlabeled 6144,Unlabeled 6145,Unlabeled 6145,Unlabeled 6145,Unlabeled 6146,Unlabeled 6146,Unlabeled 6146,Unlabeled 6147,Unlabeled 6147,Unlabeled 6147,Unlabeled 6148,Unlabeled 6148,Unlabeled 6148,Unlabeled 6150,Unlabeled 6150,Unlabeled 6150,Unlabeled 6151,Unlabeled 6151,Unlabeled 6151,Unlabeled 6152,Unlabeled 6152,Unlabeled 6152,Unlabeled 6153,Unlabeled 6153,Unlabeled 6153,Unlabeled 6154,Unlabeled 6154,Unlabeled 6154,Unlabeled 6155,Unlabeled 6155,Unlabeled 6155,Unlabeled 6156,Unlabeled 6156,Unlabeled 6156,Unlabeled 6158,Unlabeled 6158,Unlabeled 6158,Unlabeled 6159,Unlabeled 6159,Unlabeled 6159,Unlabeled 6160,Unlabeled 6160,Unlabeled 6160,Unlabeled 6161,Unlabeled 6161,Unlabeled 6161,Unlabeled 6162,Unlabeled 6162,Unlabeled 6162,Unlabeled 6163,Unlabeled 6163,Unlabeled 6163,Unlabeled 6164,Unlabeled 6164,Unlabeled 6164,Unlabeled 6165,Unlabeled 6165,Unlabeled 6165,Unlabeled 6166,Unlabeled 6166,Unlabeled 6166,Unlabeled 6167,Unlabeled 6167,Unlabeled 6167,Unlabeled 6168,Unlabeled 6168,Unlabeled 6168,Unlabeled 6169,Unlabeled 6169,Unlabeled 6169,Unlabeled 6170,Unlabeled 6170,Unlabeled 6170,Unlabeled 6171,Unlabeled 6171,Unlabeled 6171,Unlabeled 6172,Unlabeled 6172,Unlabeled 6172,Unlabeled 6173,Unlabeled 6173,Unlabeled 6173,Unlabeled 6174,Unlabeled 6174,Unlabeled 6174,Unlabeled 6175,Unlabeled 6175,Unlabeled 6175,Unlabeled 6176,Unlabeled 6176,Unlabeled 6176,Unlabeled 6177,Unlabeled 6177,Unlabeled 6177,Unlabeled 6178,Unlabeled 6178,Unlabeled 6178,Unlabeled 6179,Unlabeled 6179,Unlabeled 6179,Unlabeled 6180,Unlabeled 6180,Unlabeled 6180,Unlabeled 6181,Unlabeled 6181,Unlabeled 6181,Unlabeled 6182,Unlabeled 6182,Unlabeled 6182,Unlabeled 6183,Unlabeled 6183,Unlabeled 6183,Unlabeled 6184,Unlabeled 6184,Unlabeled 6184,Unlabeled 6185,Unlabeled 6185,Unlabeled 6185,Unlabeled 6186,Unlabeled 6186,Unlabeled 6186,Unlabeled 6187,Unlabeled 6187,Unlabeled 6187,Unlabeled 6188,Unlabeled 6188,Unlabeled 6188
,ID,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,502678A30F2011F0A6D181647A6843AC,"9DF17C330F3011F0A6D181647A6843AC","9DF17C330F3011F0A6D181647A6843AC","9DF17C330F3011F0A6D181647A6843AC","9DF17C340F3011F0A6D181647A6843AC","9DF17C340F3011F0A6D181647A6843AC","9DF17C340F3011F0A6D181647A6843AC","9DF17C320F3011F0A6D181647A6843AC","9DF17C320F3011F0A6D181647A6843AC","9DF17C320F3011F0A6D181647A6843AC","9DF17C300F3011F0A6D181647A6843AC","9DF17C300F3011F0A6D181647A6843AC","9DF17C300F3011F0A6D181647A6843AC","9DF17C310F3011F0A6D181647A6843AC","9DF17C310F3011F0A6D181647A6843AC","9DF17C310F3011F0A6D181647A6843AC","9DF17C2F0F3011F0A6D181647A6843AC","9DF17C2F0F3011F0A6D181647A6843AC","9DF17C2F0F3011F0A6D181647A6843AC","1F63337F861098511F0","1F63337F861098511F0","1F63337F861098511F0","20D0337F861098511F0","20D0337F861098511F0","20D0337F861098511F0","2104337F861098511F0","2104337F861098511F0","2104337F861098511F0","210A337F861098511F0","210A337F861098511F0","210A337F861098511F0","210B337F861098511F0","210B337F861098511F0","210B337F861098511F0","210C337F861098511F0","210C337F861098511F0","210C337F861098511F0","210D337F861098511F0","210D337F861098511F0","210D337F861098511F0","210E337F861098511F0","210E337F861098511F0","210E337F861098511F0","210F337F861098511F0","210F337F861098511F0","210F337F861098511F0","2110337F861098511F0","2110337F861098511F0","2110337F861098511F0","2111337F861098511F0","2111337F861098511F0","2111337F861098511F0","2112337F861098511F0","2112337F861098511F0","2112337F861098511F0","2114337F861098511F0","2114337F861098511F0","2114337F861098511F0","2115337F861098511F0","2115337F861098511F0","2115337F861098511F0","2116337F861098511F0","2116337F861098511F0","2116337F861098511F0","2117337F861098511F0","2117337F861098511F0","2117337F861098511F0","2118337F861098511F0","2118337F861098511F0","2118337F861098511F0","2119337F861098511F0","2119337F861098511F0","2119337F861098511F0","211A337F861098511F0","211A337F861098511F0","211A337F861098511F0","211C337F861098511F0","211C337F861098511F0","211C337F861098511F0","211D337F861098511F0","211D337F861098511F0","211D337F861098511F0","211E337F861098511F0","211E337F861098511F0","211E337F861098511F0","211F337F861098511F0","211F337F861098511F0","211F337F861098511F0","2120337F861098511F0","2120337F861098511F0","2120337F861098511F0","2121337F861098511F0","2121337F861098511F0","2121337F861098511F0","2122337F861098511F0","2122337F861098511F0","2122337F861098511F0","2124337F861098511F0","2124337F861098511F0","2124337F861098511F0","2125337F861098511F0","2125337F861098511F0","2125337F861098511F0","2126337F861098511F0","2126337F861098511F0","2126337F861098511F0","2127337F861098511F0","2127337F861098511F0","2127337F861098511F0","2128337F861098511F0","2128337F861098511F0","2128337F861098511F0","2129337F861098511F0","2129337F861098511F0","2129337F861098511F0","212A337F861098511F0","212A337F861098511F0","212A337F861098511F0","212B337F861098511F0","212B337F861098511F0","212B337F861098511F0","212C337F861098511F0","212C337F861098511F0","212C337F861098511F0","212D337F861098511F0","212D337F861098511F0","212D337F861098511F0","212E337F861098511F0","212E337F861098511F0","212E337F861098511F0","212F337F861098511F0","212F337F861098511F0","212F337F861098511F0","2130337F861098511F0","2130337F861098511F0","2130337F861098511F0","2131337F861098511F0","2131337F861098511F0","2131337F861098511F0","2132337F861098511F0","2132337F861098511F0","2132337F861098511F0","2133337F861098511F0","2133337F861098511F0","2133337F861098511F0","2134337F861098511F0","2134337F861098511F0","2134337F861098511F0","2135337F861098511F0","2135337F861098511F0","2135337F861098511F0","2136337F861098511F0","2136337F861098511F0","2136337F861098511F0","2137337F861098511F0","2137337F861098511F0","2137337F861098511F0","2138337F861098511F0","2138337F861098511F0","2138337F861098511F0","2139337F861098511F0","2139337F861098511F0","2139337F861098511F0","213A337F861098511F0","213A337F861098511F0","213A337F861098511F0","213B337F861098511F0","213B337F861098511F0","213B337F861098511F0","213C337F861098511F0","213C337F861098511F0","213C337F861098511F0","213D337F861098511F0","213D337F861098511F0","213D337F861098511F0","213E337F861098511F0","213E337F861098511F0","213E337F861098511F0","213F337F861098511F0","213F337F861098511F0","213F337F861098511F0","2140337F861098511F0","2140337F861098511F0","2140337F861098511F0","2141337F861098511F0","2141337F861098511F0","2141337F861098511F0","2142337F861098511F0","2142337F861098511F0","2142337F861098511F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.003342,0.012178,0.015938,0.999793,45.703766,350.996338,32.401047,136.642807,352.498199,75.209679,146.052261,353.175110,27.494787,-8.682396,351.215088,-52.337936,38.293549,352.086761,-67.817970,-0.380836,348.444214,122.304390,-37.703136,348.558655,89.553207,136.689285,352.434540,75.265518,146.113983,353.240753,27.421930,-8.743753,351.230072,-52.297203,38.355053,352.061584,-67.940521,-0.495982,348.476562,122.379974,-37.696354,348.537109,89.571800,-449.286530,12.261039,-487.279663,-320.448029,-1.794655,-449.923370,-427.151245,-3.093444,-510.446594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.003362,0.012158,0.015917,0.999794,45.707767,350.991699,32.392723,136.645126,352.491394,75.205025,146.056549,353.166046,27.490499,-8.674901,351.209473,-52.348515,38.301708,352.078522,-67.826645,-0.380635,348.445038,122.294266,-37.701588,348.559753,89.541550,136.691040,352.425079,75.263573,146.121811,353.231720,27.417358,-8.739786,351.223969,-52.307785,38.359325,352.052734,-67.947639,-0.495716,348.480896,122.366745,-37.695694,348.534912,89.558716,-449.247498,12.302032,-487.266510,-320.452393,-1.799659,-449.926544,-427.153717,-3.093055,-510.449341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.003373,0.012144,0.015921,0.999794,45.715130,350.987549,32.385429,136.651215,352.489075,75.200348,146.064041,353.162720,27.486086,-8.665070,351.202881,-52.357391,38.311989,352.071991,-67.834175,-0.375867,348.442535,122.285683,-37.695862,348.556183,89.531883,136.697357,352.427185,75.260132,146.130478,353.225372,27.413229,-8.730600,351.216370,-52.318130,38.371620,352.049713,-67.956070,-0.490536,348.476746,122.358849,-37.687832,348.532837,89.550003,-449.286072,12.251936,-487.283112,-320.446777,-1.810631,-449.932526,-427.152893,-3.105814,-510.451965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.003373,0.012140,0.015914,0.999794,45.711472,350.992188,32.377869,136.647217,352.492432,75.193550,146.060455,353.165955,27.479359,-8.668020,351.208313,-52.365406,38.309177,352.076782,-67.841797,-0.380311,348.447815,122.277740,-37.700035,348.562012,89.523628,136.691101,352.426697,75.253273,146.127945,353.233124,27.402742,-8.731883,351.221527,-52.325974,38.370174,352.053314,-67.962135,-0.496328,348.481537,122.351784,-37.692238,348.539978,89.542717,-449.288757,12.267939,-487.278351,-320.449646,-1.796192,-449.928436,-427.154114,-3.095960,-510.448822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.003392,0.012150,0.015907,0.999794,45.711750,350.984344,32.374718,136.648392,352.484955,75.188522,146.060638,353.156555,27.474123,-8.669433,351.198029,-52.367477,38.307468,352.065308,-67.844841,-0.378273,348.443878,122.275604,-37.698650,348.557312,89.522224,136.694992,352.417023,75.246643,146.132141,353.225189,27.401590,-8.733908,351.209961,-52.329330,38.364563,352.043121,-67.964554,-0.493016,348.479675,122.349388,-37.694050,348.534271,89.540222,-449.242584,12.295963,-487.268372,-320.449738,-1.813182,-449.930023,-427.151550,-3.109500,-510.451141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.003400,0.012161,0.015936,0.999793,45.704262,350.986115,32.374039,136.641769,352.492554,75.185791,146.052933,353.163971,27.471167,-8.678827,351.195404,-52.366943,38.297680,352.065094,-67.845367,-0.383608,348.444489,122.276001,-37.704720,348.555298,89.523453,136.688843,352.429749,75.247078,146.120972,353.227325,27.397470,-8.741498,351.209656,-52.326733,38.353161,352.042236,-67.967575,-0.498074,348.480438,122.349541,-37.698051,348.530426,89.540039,-449.241028,12.319310,-487.260925,-320.450104,-1.793920,-449.928192,-427.155182,-3.102908,-510.449585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
