X,Y,Z,X,Y,Z,W
-3.079725,313.474091,41.677425,0.000052,0.000016,-0.000017,1
-3.079488,313.486481,41.679688,0.000024,0.000013,-0.000029,1
-3.081501,313.474304,41.676811,0.000051,0.000017,-0.000014,1
-3.079228,313.486176,41.678593,0.000022,0.000017,-0.000025,1
-3.081631,313.480072,41.676617,0.000039,0.000021,-0.000009,1
-3.077784,313.477325,41.67802,0.000036,0.000019,-0.000018,1
-3.081963,313.490906,41.67804,0.000033,0.000025,-0.000017,1
-3.07852,313.477661,41.678043,0.000031,0.000025,-0.000017,1
-3.080174,313.486572,41.676975,0.000023,0.000028,-0.00002,1
-3.07827,313.47699,41.677334,0.00004,0.000027,0.000001,1
-3.079258,313.487183,41.678265,0.000014,0.000028,-0.000015,1
-3.078573,313.479736,41.677666,0.000042,0.00003,0.000002,1
-3.077163,313.482697,41.677555,0.000028,0.000027,-0.00001,1
-3.078437,313.481873,41.676998,0.000048,0.000028,-0.000002,1
-3.07728,313.476807,41.677357,0.000019,0.000023,-0.000015,1
-3.078655,313.486694,41.678131,0.000024,0.000027,-0.000004,1
-3.079324,313.479553,41.67775,0.000031,0.000019,-0.000004,1
-3.07745,313.482666,41.678326,0.000025,0.000019,-0.000006,1
-3.080301,313.481018,41.677193,0.000024,0.000018,-0.000013,1
-3.078313,313.478241,41.677376,0.000014,0.000015,-0.00001,1
-3.080741,313.489838,41.678665,0.000024,0.000018,-0.000013,1
-3.07814,313.476624,41.67775,0.000022,0.000014,-0.000016,1
-3.079723,313.486847,41.678452,0.00003,0.00002,-0.000017,1
-3.078938,313.476837,41.67733,0.000015,0.000016,-0.000018,1
-3.079202,313.489166,41.677708,0.00002,0.000021,-0.00002,1
-3.080099,313.479492,41.678036,0.00003,0.00002,-0.000018,1
-3.076824,313.47818,41.677525,0.000027,0.000026,-0.00002,1
-3.079962,313.487579,41.678188,0.000018,0.000023,-0.000012,1
-3.075905,313.473053,41.67717,0.000032,0.000025,-0.000012,1
-3.078156,313.488281,41.679386,0.000026,0.000031,-0.00002,1
-3.076254,313.473846,41.676758,0.000017,0.000026,-0.000009,1
-3.077164,313.490997,41.679913,0.000027,0.00003,-0.000013,1
-3.076522,313.468811,41.677773,0.000023,0.000025,-0.000008,1
-3.077194,313.491669,41.680565,0.000026,0.000035,-0.000027,1
-3.07788,313.480194,41.678139,0.00002,0.000031,-0.000006,1
-3.076161,313.477325,41.678913,0.000025,0.000028,-0.000014,1
-3.07675,313.481049,41.678207,0.000027,0.000025,-0.000008,1
-3.077055,313.479553,41.679409,0.000025,0.000021,-0.000008,1
-3.077928,313.485138,41.679817,0.000027,0.000024,-0.000023,1
-3.077624,313.477539,41.678635,0.000026,0.000022,-0.000011,1
-3.07645,313.483063,41.679302,0.000033,0.000019,-0.000018,1
-3.079509,313.481262,41.678265,0.00001,0.000011,-0.000024,1
-3.076706,313.476807,41.678822,0.000032,0.000013,-0.000027,1
-3.081036,313.486725,41.678581,0.000023,0.000017,-0.000019,1
-3.076112,313.472565,41.678875,0.000032,0.000013,-0.000025,1
-3.079983,313.48645,41.67894,0.000022,0.000012,-0.000023,1
-3.078056,313.476074,41.679462,0.000034,0.000015,-0.000027,1
-3.077958,313.485413,41.677837,0.000023,0.000019,-0.00001,1
-3.077493,313.481049,41.678665,0.000027,0.000024,-0.000018,1
-3.076723,313.477997,41.678169,0.000028,0.000026,-0.000018,1
-3.078645,313.48642,41.679256,0.000035,0.000027,-0.000025,1
-3.07567,313.476776,41.678513,0.000019,0.000029,-0.00002,1
-3.078814,313.487762,41.680275,0.000033,0.000031,-0.000021,1
-3.075794,313.467743,41.678303,0.000032,0.000031,-0.000006,1
-3.075915,313.484894,41.680588,0.000024,0.000032,-0.000009,1
-3.077873,313.476837,41.679787,0.000047,0.000031,-0.00001,1
-3.075299,313.483368,41.681015,0.000016,0.000029,-0.00002,1
-3.078975,313.478668,41.680122,0.000025,0.000027,-0.000007,1
-3.074356,313.479218,41.680294,0.000023,0.000022,-0.000021,1
-3.079842,313.481171,41.681286,0.000032,0.000025,-0.000009,1
-3.076437,313.477081,41.681118,0.000037,0.000014,-0.00002,1
-3.078413,313.489197,41.682163,0.000016,0.000016,-0.000012,1
-3.076728,313.474579,41.680313,0.000032,0.000009,-0.000017,1
-3.077428,313.483521,41.682327,0.000016,0.000014,-0.00002,1
-3.079222,313.478638,41.679527,0.000025,0.000009,-0.000019,1
-3.076852,313.483398,41.681725,0.000007,0.000011,-0.000029,1
-3.079229,313.480408,41.679276,0.000029,0.00001,-0.000017,1
-3.07605,313.481506,41.681953,0.000022,0.000014,-0.000031,1
-3.077338,313.483276,41.679977,0.000032,0.000015,-0.000014,1
-3.076081,313.476593,41.680992,0.000019,0.000015,-0.00002,1
-3.077294,313.482086,41.67934,0.000015,0.00002,-0.000019,1
-3.076949,313.478027,41.679413,0.000012,0.000023,-0.000019,1
-3.075674,313.479736,41.679356,0.000028,0.000024,-0.000021,1
-3.078087,313.482605,41.680252,0.000016,0.000028,-0.000013,1
-3.074941,313.481262,41.679634,0.000021,0.000028,-0.000019,1
-3.077178,313.485291,41.679516,0.000016,0.000028,-0.000006,1
-3.075,313.474213,41.678989,0.000025,0.000024,-0.000023,1
-3.077208,313.490936,41.679691,0.000021,0.000029,-0.000022,1
-3.076595,313.476562,41.680046,0.000023,0.000026,-0.000015,1
-3.074622,313.486053,41.679985,0.00001,0.000028,-0.00002,1
-3.078478,313.483612,41.679554,0.000006,0.000023,-0.000025,1
-3.073346,313.47525,41.679001,0.000015,0.00002,-0.000031,1
-3.07962,313.484131,41.680523,0.000018,0.000019,-0.000022,1
-3.07511,313.478973,41.676777,0.000014,0.000015,-0.00003,1
-3.077874,313.489929,41.681744,0.000019,0.000018,-0.000028,1
-3.076044,313.475037,41.67865,0.000009,0.000013,-0.000025,1
-3.076636,313.489136,41.681049,0.00001,0.000017,-0.000023,1
-3.076131,313.476624,41.676857,0.000013,0.000015,-0.000033,1
-3.075741,313.480499,41.68121,0.000008,0.000019,-0.000031,1
-3.076429,313.478577,41.678844,0.000031,0.000013,-0.000025,1
-3.076077,313.488983,41.679939,0.000007,0.000023,-0.000043,1
-3.075583,313.474152,41.679459,0.000009,0.000025,-0.000028,1
-3.075424,313.493195,41.679993,0.000004,0.000028,-0.000038,1
-3.0744,313.47641,41.678658,0.000027,0.000028,-0.000023,1
-3.07694,313.49231,41.681721,0.000006,0.000028,-0.000032,1
-3.074987,313.47467,41.678299,0.000019,0.000033,-0.000012,1
-3.076936,313.489441,41.682125,0,0.000028,-0.000037,1
-3.072605,313.481903,41.678871,0.000015,0.000033,-0.000025,1
-3.076122,313.477997,41.680351,0.000015,0.00003,-0.000037,1
-3.074519,313.495911,41.680862,0.00001,0.000035,-0.000037,1
-3.074805,313.470612,41.676888,0.000012,0.000026,-0.000019,1
-3.074773,313.495026,41.683872,0.000011,0.000032,-0.00004,1
-3.074677,313.466858,41.67424,0.000012,0.00002,-0.000016,1
-3.075081,313.489929,41.682217,0.000011,0.000027,-0.000034,1
-3.073043,313.476898,41.674683,0.000029,0.000023,-0.000031,1
-3.075773,313.479584,41.680523,0.000016,0.000016,-0.000031,1
-3.072313,313.487915,41.677994,0.000022,0.00002,-0.000028,1
-3.077562,313.477112,41.677937,0.000013,0.000015,-0.000037,1
-3.071499,313.484467,41.679161,0.00003,0.00002,-0.000022,1
-3.075822,313.476166,41.677204,0.000007,0.000011,-0.000022,1
-3.073489,313.487915,41.679302,0.000013,0.000016,-0.000024,1
-3.07228,313.48175,41.677322,0.000021,0.000016,-0.000029,1
-3.07614,313.471497,41.679008,0.000021,0.00002,-0.000018,1
-3.069485,313.49173,41.677734,0.000016,0.000024,-0.000022,1
