1,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(kN),(deg),(N-m)
"","0.0000","0.0002","-0.0002","-0.0072","-0.00042"
"","0.0200","0.0002","-0.0002","-0.0072","-0.00041"
"","0.0400","0.0002","-0.0002","-0.0072","-0.00040"
"","0.0600","0.0002","-0.0002","-0.0072","-0.00039"
"","0.0800","0.0002","-0.0002","-0.0072","-0.00041"
"","0.1000","0.0002","-0.0002","-0.0072","-0.00042"
"","0.1200","0.0002","-0.0002","-0.0072","-0.00044"
"","0.1400","0.0002","-0.0002","-0.0072","-0.00044"
"","0.1600","0.0002","-0.0002","-0.0069","-0.00045"
"","0.1800","0.0002","-0.0002","-0.0046","-0.00043"
"","0.2000","0.0002","-0.0002","0.0089","-0.00041"
"","0.2200","0.0002","-0.0002","0.0359","-0.00040"
"","0.2400","0.0002","-0.0002","0.0613","-0.00040"
"","0.2600","0.0002","-0.0002","0.0837","-0.00039"
"","0.2800","0.0002","-0.0002","0.1062","-0.00039"
"","0.3000","0.0002","-0.0002","0.1298","-0.00041"
"","0.3200","0.0002","-0.0002","0.1541","-0.00041"
"","0.3400","0.0002","-0.0002","0.1781","-0.00043"
"","0.3600","0.0002","-0.0002","0.2015","-0.00043"
"","0.3800","0.0002","-0.0002","0.2240","-0.00042"
"","0.4000","0.0002","-0.0002","0.2460","-0.00041"
"","0.4200","0.0002","-0.0002","0.2679","-0.00041"
"","0.4400","0.0002","-0.0002","0.2895","-0.00042"
"","0.4600","0.0002","-0.0002","0.3103","-0.00040"
"","0.4800","0.0002","-0.0002","0.3299","-0.00040"
"","0.5000","0.0002","-0.0002","0.3483","-0.00041"
"","0.5200","0.0002","-0.0002","0.3661","-0.00043"
"","0.5400","0.0002","-0.0002","0.3839","-0.00043"
"","0.5600","0.0002","-0.0002","0.4022","-0.00045"
"","0.5800","0.0002","-0.0002","0.4212","-0.00044"
"","0.6000","0.0002","-0.0002","0.4407","-0.00042"
"","0.6200","0.0002","-0.0002","0.4609","-0.00040"
"","0.6400","0.0002","-0.0002","0.4822","-0.00041"
"","0.6600","0.0002","-0.0002","0.5043","-0.00042"
"","0.6800","0.0002","-0.0002","0.5264","-0.00041"
"","0.7000","0.0002","-0.0002","0.5477","-0.00042"
"","0.7200","0.0002","-0.0002","0.5686","-0.00041"
