date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
11-Nov-2024 10:55:13,1,1,-0.021778520817558,0.318828556934992,0.00803780996551116,-0.999147848288218,-0.00261766176360349,-0.0388771208624045,-0.0136138092105587,-9.675,-12.675,-4.50000000000001,-7.87500000000001,-11.025,-6.90000000000001,-12.225,-5.02500000000001,-7.20000000000001
11-Nov-2024 10:55:27,1,2,-0.0216395772993565,0.322133417924245,0.0159773875027895,-0.998581822713216,-0.0214659750461578,-0.038232858479023,-0.0301963772624731,-14.191329703255,-17.8572018332192,-7.08675353035401,-7.81416761431686,-10.9815482959406,-6.87392897756437,-18.7821808703127,-5.11123921658478,-7.2387703647188
11-Nov-2024 10:56:00,1,3,-0.0199311828861634,0.326142374674479,0.0177787803113461,-0.998271028200785,-0.020149331415693,-0.038475280503432,-0.0396061894794305,-20.0951594065101,-19.9269036664384,-11.098507060708,-10.8658352286337,-6.3255965918812,-10.0728579551287,-22.4518617406254,-11.6099784331695,-9.60254072943759
11-Nov-2024 10:56:14,1,4,-0.0212181820223729,0.329978873332341,0.0265767365694046,-0.996755373477936,-0.0414945684373379,-0.0375182390213013,-0.0578732281923294,-24.6114891097651,-25.1091054996576,-13.685260591062,-10.8050028429505,-6.28214488782181,-10.0467869326931,-29.0090426109382,-11.6962176497543,-9.64131109415638
11-Nov-2024 10:56:51,1,5,-0.018063980465134,0.334006518125534,0.0293443717062473,-0.995784787336985,-0.0478361919522285,-0.0358036768933137,-0.0695883244276047,-29.5215688130202,-27.4600573328769,-17.884514121416,-12.3754204572673,-15.3324431837624,-12.5332159102574,-34.0474734812509,-16.188706866339,-11.5175814588751
11-Nov-2024 10:57:04,1,6,-0.0212390872339408,0.338089513778687,0.0392688820759455,-0.993427789211273,-0.0657077118754387,-0.0329234935343266,-0.0877485737204552,-34.0378985162752,-32.6422591660961,-20.4712676517701,-12.3145880715842,-15.288991479703,-12.5071448878218,-40.6046543515636,-16.2749460829238,-11.5563518235939
11-Nov-2024 10:57:43,1,7,-0.0175098241617282,0.342692671219508,0.0423853735129038,-0.991172424952189,-0.0873349035779635,-0.0291107794890801,-0.0954069023331006,-38.2261032195302,-36.2588359993153,-25.2142711821241,-14.044380685901,-19.5674147756435,-14.7123238653861,-47.3024602218764,-20.5143102995085,-13.7888721883127
11-Nov-2024 10:57:56,1,8,-0.0191330795486768,0.347345449527105,0.0512123743693034,-0.987653732299805,-0.103165189921856,-0.0249744780361652,-0.11521007468303,-42.7424329227853,-41.4410378325346,-27.8010247124781,-13.9835483002178,-19.5239630715841,-14.6862528429505,-53.8596410921891,-20.6005495160933,-13.8276425530315
11-Nov-2024 10:58:37,1,9,-0.0177581717570623,0.351964161793391,0.0543351834019025,-0.985144603252411,-0.111822827160358,-0.0207233654956023,-0.128671545783679,-47.9197001260403,-47.2654271657538,-30.8659032428321,-16.0930284145347,-22.0164488675246,-18.8508068205148,-59.3621344625018,-25.838351232678,-17.1382879177502
11-Nov-2024 10:58:51,1,10,-0.0268871296197176,0.353082289298375,0.0477081214388212,-0.987917852401733,-0.0801140606403351,-0.0234843723475933,-0.130570192138354,-52.5383110896998,-45.060468226116,-29.8321936898596,-19.7183127685496,-26.2541553935425,-21.0384300003701,-54.2652332931101,-26.3530748647143,-17.4644196506148
