x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,mass,l0,l1,l2,l3,l4,l5,l6,l7,l8
0.003751306,0.322599403,0.044093908,-0.016155833,-0.034473078,0.007893267,0.999243871,0,-8.025,-0.075,-5.025,-6.6,-7.35,-5.625,-9.75,-5.1,-6.825
0.002179583,0.326155349,0.051964481,-0.038370568,-0.035117856,0.023472687,0.998370441,0,-12.5413297,-5.257201833,-7.61175353,-6.539167614,-7.306548296,-5.598928978,-16.30718087,-5.186239217,-6.863770365
0.003905865,0.330839278,0.054084043,-0.056380393,-0.035092733,0.027970163,0.997400379,0,-19.19515941,-13.47690367,-10.53600706,-8.503335229,-11.46309659,-9.435357955,-21.36436174,-9.547478433,-10.01504073
0.005165267,0.33478866,0.061107922,-0.07615712,-0.034765336,0.051250312,0.99517082,0,-23.71148911,-18.6591055,-13.12276059,-8.442502843,-11.41964489,-9.409286933,-27.92154261,-9.63371765,-10.05381109
0.00546469,0.338958985,0.066177532,-0.095553351,-0.032337099,0.055392431,0.993355727,0,-29.14656881,-24.38505733,-16.70326412,-9.469170457,-15.35119318,-12.28946591,-32.60372348,-15.98245687,-11.12383146
0.003492604,0.343122637,0.075307909,-0.116362219,-0.029534839,0.073487618,0.99004401,0,-33.66289852,-29.56725917,-19.29001765,-9.408338072,-15.30774148,-12.26339489,-39.16090435,-16.06869608,-11.16260182
0.003466715,0.347896789,0.081001516,-0.134368428,-0.024623013,0.082871723,0.987153077,0,-39.08860322,-35.546336,-22.52364618,-10.41625569,-7.576789776,-15.34044887,-44.85558522,-19.8111853,-13.66699719
0.002366892,0.353181408,0.091200049,-0.156216285,-0.020357039,0.103391029,0.982085733,0,-43.60493292,-40.72853783,-25.11039971,-10.3554233,-7.533338072,-15.31437784,-51.41276609,-19.89742452,-13.70576755
0.003354121,0.357856486,0.09609584,-0.159533487,-0.01421295,0.116168688,0.980230574,0,-47.00095013,-45.63417717,-30.34559074,-13.00396591,-3.646136368,-17.36486932,-57.31369696,-25.56178873,-16.32735042
-0.004279663,0.358596174,0.090258734,-0.162709438,-0.016384757,0.084165953,0.982941147,0,-51.61956109,-43.42921823,-29.31188119,-16.62925027,-7.883842894,-19.5524925,-52.21679579,-26.07651236,-16.65348215
-0.007991605,0.35882625,0.083986659,-0.172667403,-0.021538608,0.036249327,0.984077295,0,-58.0030158,-40.86097804,-28.55239039,-19.05922212,-11.32467442,-19.77839693,-49.41676962,-25.5552985,-16.92102013
-0.015870539,0.360584011,0.080726235,-0.174835715,-0.021848632,0.001822567,0.984353526,0,-62.62162677,-38.6560191,-27.51868083,-22.68450648,-15.56238095,-21.96602011,-44.31986845,-26.07002213,-17.24715187
-0.020434602,0.360593957,0.075362024,-0.173327792,-0.023973946,-0.040821385,0.983725758,0,-65.64765961,-35.81941953,-26.54708066,-25.48713458,-26.90164997,-21.82278391,-41.49640478,-24.79177701,-17.31898672
-0.029250341,0.362898552,0.070914887,-0.174732744,-0.022000412,-0.073844047,0.981596418,0,-70.26627057,-33.61446059,-25.5133711,-29.11241893,-31.1393565,-24.01040709,-36.39950362,-25.30650064,-17.64511846
-0.036181642,0.363540524,0.064313994,-0.164374958,-0.021879679,-0.129579119,0.977604942,0,-73.41359247,-31.61868134,-24.88571624,-33.97637516,-33.67784427,-25.40760059,-31.1643212,-23.7997399,-18.21910175
-0.044456866,0.365587862,0.052216208,-0.134197806,-0.01873088,-0.147096303,0.979797363,0,-71.40637772,-35.97098446,-27.00287774,-39.91442174,-39.30054914,-28.15996296,-27.96896291,-23.20983931,-17.8651614
-0.053453955,0.364961123,0.044166584,-0.109545786,-0.017033416,-0.160076373,0.980859395,0,-70.23851843,-40.50287743,-28.64806659,-42.12180426,-42.79864462,-31.41711049,-26.50446401,-14.70919654,-16.51014683
-0.064176807,0.36797811,0.033103007,-0.084216996,-0.014201726,-0.174847391,0.980884421,0,-68.23130368,-44.85518055,-30.76522809,-48.05985084,-48.42134948,-34.16947286,-23.30910573,-14.11929595,-16.15620648
-0.071101202,0.368866531,0.026208853,-0.03661741,-0.017267538,-0.17803112,0.983191737,0,-65.06876666,-49.7472786,-32.57140326,-53.18256539,-52.60674966,-36.87422781,-23.90417713,-7.549024268,-16.05172901
-0.085340762,0.373792529,0.017919204,-0.009491087,-0.016995234,-0.193150567,0.980976045,0,-63.06155191,-54.09958172,-34.68856477,-59.12061198,-58.22945452,-39.62659018,-20.70881885,-6.95912368,-15.69778866
-0.080493483,0.375318406,0.012478873,0.02942452,-0.026442536,-0.159600025,0.986388814,0,-60.70167602,-58.4217823,-36.6502331,-63.15099254,-62.98350704,-42.58014884,-29.53367541,-3.379037545,-17.71857975
-0.094315474,0.38041809,0.006245458,0.053774529,-0.02995549,-0.174316595,0.982763815,0,-58.69446127,-62.77408543,-38.76739461,-69.08903912,-68.6062119,-45.33251121,-26.33831713,-2.789136957,-17.3646394
-0.084825876,0.382428745,-0.005632304,0.101272086,-0.036186167,-0.163077821,0.980734531,0,-56.3569814,-62.66741785,-37.05075719,-76.50506639,-72.72650418,-46.45483591,-32.37502192,-3.738217405,-20.39350906
-0.081042613,0.387432069,-0.016440162,0.138603383,-0.039488608,-0.163005686,0.976042497,0,-54.5708321,-59.50080154,-35.71186636,-85.02492667,-74.13112263,-47.40156245,-36.37661929,-6.182390626,-21.86001299
-0.079715619,0.390679284,-0.031807515,0.189461791,-0.039373231,-0.187515396,0.963011936,0,-52.80901752,-57.8641596,-34.85910224,-93.44287044,-76.21857799,-49.11108807,-32.92077038,-9.004017461,-22.68269978
-0.073686687,0.395596343,-0.039682332,0.224108556,-0.0404073,-0.186136186,0.955769821,0,-51.02286822,-54.69754329,-33.52021141,-101.9627307,-77.62319645,-50.05781462,-36.92236775,-11.44819068,-24.14920372
-0.066577043,0.400691924,-0.054471359,0.284166233,-0.033586099,-0.206628546,0.935642139,0,-49.47388628,-52.29591416,-32.72438393,-112.9816327,-76.81923335,-51.01094071,-34.49524197,-31.63109071,-25.06879908
-0.060989932,0.405336859,-0.059568275,0.318534436,-0.031979511,-0.207754439,0.924311225,0,-47.68773698,-49.12929785,-31.3854931,-121.501493,-78.22385181,-51.95766725,-38.49683934,-34.07526393,-26.53530301
-0.063026975,0.406856736,-0.063396126,0.328023483,-0.027725824,-0.225448176,0.916954203,0,-49.24798658,-48.53591663,-29.8391028,-123.1867784,-79.41851104,-52.04285746,-35.78033085,-33.58757213,-27.19083656
-0.057964843,0.40832955,-0.06998046,0.324843397,-0.017506019,-0.23139889,0.916855983,0,-50.6146525,-41.03504181,-25.84618082,-123.7725428,-81.86746105,-53.0248479,-35.82818392,-36.68051693,-28.49482439
-0.061379662,0.407409753,-0.064495831,0.310437238,-0.020312445,-0.234238403,0.921058381,0,-52.37811026,-49.21291378,-29.97652468,-122.0580677,-84.21426568,-53.25843822,-34.94385621,-36.55814343,-29.54958508
-0.056147782,0.408585081,-0.07136614,0.306282445,-0.010575098,-0.237966399,0.921656775,0,-53.74477618,-41.71203896,-25.9836027,-122.6438322,-86.66321569,-54.24042866,-34.99170929,-39.65108823,-30.85357291
-0.062849615,0.411383474,-0.070341454,0.312063613,-0.011790794,-0.249670654,0.916592538,0,-55.15983802,-48.50053754,-31.30231365,-125.0794769,-87.78609301,-54.77321904,-30.67347197,-42.71137388,-25.13294717
-0.060173367,0.40858021,-0.063374516,0.288946335,-0.015796694,-0.231432601,0.928816156,0,-57.4227533,-49.36308944,-31.81984479,-118.3637997,-87.91731837,-54.92508691,-37.35993239,-40.42319749,-24.07511417
-0.06107357,0.405917466,-0.055997874,0.245958602,-0.021675016,-0.201578018,0.947840122,0,-60.00986654,-50.39532804,-32.11819238,-114.8230626,-87.91050738,-54.40235475,-43.43834762,-38.49369154,-29.47997438
