x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,f_t,l0,l1,l2,l3,l4,l5,l6,l7,l8
0.003113144,0.323685638,0.04130411,0,0,0,1,0,-0.9,-0.675,-3.6,-9.6,-10.35,-1.2,-10.65,-4.2,-4.8
0.001285079,0.326605721,0.042897128,-0.009121627,-0.000212406,-0.000781017,0.99995807,0,-9.782767768,-18.707716,-5.288569739,-11.58609021,-12.51809659,-5.587512566,-13.91214467,-7.759596165,-5.870757699
-0.000889897,0.329595691,0.044574122,-0.01917109,-0.000320532,-0.011783887,0.999746721,0,-14.16553554,-21.721682,-7.164639479,-13.12218041,-14.49869318,-7.650025131,-18.52428935,-8.69419233,-5.929015398
0.001062691,0.334297595,0.046617703,-0.030342173,0.001080709,-0.021680247,0.999303833,0,-20.2733033,-24.501273,-8.984459218,-15.78327062,-17.96053976,-9.450037697,-24.33643402,-12.29128849,-7.131023097
0.003635363,0.338742081,0.048785951,-0.044577262,0.001524977,-0.035027748,0.998390504,0,-26.04357107,-27.0886765,-11.07615396,-17.35686082,-20.88801135,-11.56880026,-30.37357869,-15.56963466,-8.904905796
0.004521191,0.342775361,0.050873005,-0.045662881,0.000620771,-0.051879994,0.997608632,0,-29.54508884,-31.52998625,-12.9287862,-19.43670103,-23.17329544,-13.47193783,-37.19822336,-18.16360582,-10.88972599
0.009424714,0.347267918,0.050689339,-0.060830652,0.002062652,-0.069998656,0.995688488,0,-34.16223161,-31.04824913,-14.66188719,-20.79466624,-26.56248578,-15.41726289,-43.59161804,-21.46538949,-12.68001494
0.011539392,0.352568511,0.053958008,-0.0714214,0.002137191,-0.080016227,0.994229259,0,-40.01218688,-34.17998857,-16.78522255,-24.11669394,-29.37862924,-17.68368171,-49.69438771,-25.7210794,-14.82303827
0.002660193,0.353480009,0.061202755,-0.085386864,-0.000415055,-0.057520928,0.994686008,0,-43.60709569,-37.7479527,-18.50121705,-25.36107231,-25.31930359,-18.09897076,-47.06789385,-24.96074039,-14.10373861
-0.008044004,0.353588595,0.065599777,-0.098019682,-0.001520818,-0.025025136,0.99486862,0,-47.21020763,-39.85678597,-20.53977014,-26.6089663,-21.60421621,-17.61953326,-43.28124375,-23.05137793,-13.84762255
-0.020167961,0.354209312,0.069602526,-0.103815327,-0.002419862,0.005554762,0.994578135,0,-49.91742114,-42.58605381,-22.66460252,-28.5336181,-27.06124797,-17.44273247,-39.13951552,-21.46750376,-13.22309829
-0.031804067,0.354622807,0.074586753,-0.107336033,-0.001683422,0.036913187,0.993535887,0,-51.42668542,-46.67553894,-25.05757456,-30.12164881,-27.87933931,-17.04225004,-33.99524823,-19.52137373,-13.01436992
-0.039988493,0.354378186,0.083489261,-0.096760918,0.000209245,0.064355729,0.993224859,0,-50.3119751,-51.8951327,-28.03461642,-31.54136897,-26.15296043,-16.37992679,-28.79971141,-19.56911577,-13.6885395
-0.044504859,0.355605052,0.091190135,-0.092705622,0.00243279,0.081173311,0.992376261,0,-50.36027747,-56.92978079,-30.85369319,-33.10193386,-25.47934644,-16.41168313,-25.37853982,-21.28879384,-14.57915806
-0.045593179,0.358582997,0.100598642,-0.090430985,0.002956532,0.07665342,0.992943981,0,-51.21508618,-61.79695605,-33.59378742,-34.95792111,-24.6571149,-16.41547927,-27.64455085,-23.24443993,-15.8030011
-0.040164534,0.359157219,0.100723988,-0.076144676,0.000677376,0.056969758,0.995467717,0,-49.24821543,-63.99356241,-35.07204898,-36.25801786,-26.22977688,-17.29847129,-31.37886619,-25.72441206,-17.84270225
-0.028332226,0.359363033,0.096744698,-0.061316242,0.000393941,0.045734203,0.99706998,0,-48.19547127,-62.62330056,-35.66806491,-37.6319702,-26.00278447,-17.53697326,-35.03497719,-28.93837619,-21.31570952
-0.016080453,0.359789205,0.091705123,-0.045906841,-0.001125864,0.02867332,0.998533492,0,-46.6997904,-61.41960461,-35.67295802,-39.56785034,-27.80096486,-17.97823021,-39.47698602,-33.26933633,-23.48036985
8.25939040320615e-05,0.360495579,0.08768315,-0.013664771,-0.006468479,-0.004811691,0.999874132,0,-42.05764117,-61.7241916,-35.23228972,-41.10969437,-28.13673166,-18.59586464,-44.98694376,-38.15879447,-25.6658567
0.013521408,0.362543652,0.08235938,0.007827919,-0.010898871,-0.029785281,0.999466245,0,-38.99225777,-61.43292007,-34.34384071,-43.65452036,-29.76629165,-19.52668782,-51.18087596,-44.2275016,-27.56175683
0.026342642,0.365399015,0.075620413,0.024917621,-0.014594657,-0.058389229,0.997876148,0,-39.04025728,-60.01871927,-33.68150136,-46.10083731,-31.29274825,-20.83910536,-58.46679538,-49.08583324,-29.53786358
0.039193186,0.369239451,0.06872429,0.043382699,-0.019379321,-0.09207742,0.994617581,0,-38.24494824,-58.64305385,-32.83221682,-48.72289976,-34.04265315,-21.7423201,-66.59870842,-54.53897713,-31.62907366
0.047567855,0.373557369,0.051797537,0.085405439,-0.021861992,-0.108963497,0.990128739,0,-35.97582421,-56.04895735,-30.48871243,-55.56303459,-36.71030332,-23.97454609,-73.23653877,-57.57066886,-32.19900836
0.053881935,0.377891527,0.034560289,0.130834753,-0.022276407,-0.118078086,0.984095318,0,-33.12087304,-52.22699469,-28.39847175,-61.9596058,-40.50881555,-25.95447138,-78.36086751,-60.30106365,-33.51021889
0.061742586,0.383858035,0.018302713,0.162587356,-0.021230064,-0.13560606,0.977100626,0,-32.29800829,-48.01609895,-26.20986292,-68.50939519,-43.89775883,-28.33324632,-83.85344546,-61.00580998,-34.51706733
0.062553964,0.388965164,0.005983464,0.193370382,-0.019481691,-0.142737674,0.970491791,0,-31.36618677,-44.58573667,-25.24707002,-75.28579368,-48.35691762,-29.93644609,-89.23014802,-61.44773207,-35.52173473
0.068771548,0.386403207,0.008351125,0.19376648,-0.022218472,-0.13178243,0.971902403,0,-29.51064334,-42.35536243,-23.14748049,-73.40047285,-45.38053181,-27.07446684,-84.56799271,-62.14095476,-35.87460274
0.071889237,0.38304975,0.009322044,0.183791461,-0.022970888,-0.119910602,0.975353518,0,-27.96536071,-39.79512155,-21.12934495,-69.95930429,-43.00919987,-25.4435938,-80.10186855,-62.43097139,-36.15192548
0.075918919,0.379383294,0.012812989,0.171944533,-0.025323214,-0.104408706,0.979230634,0,-26.12520849,-36.16994736,-19.52693639,-65.89021186,-39.74039487,-23.00327386,-74.68375996,-61.619385,-36.84147559
0.08136623,0.376446772,0.016663953,0.16047061,-0.027512132,-0.093600533,0.982207313,0,-24.66262147,-23.7623065,-18.05739134,-61.80715751,-37.14785334,-20.98323047,-70.36465917,-62.05699709,-37.96213939
0.08590282,0.372155277,0.018915583,0.14146206,-0.026409209,-0.083098768,0.986096159,0,-22.41381704,-31.86343232,-15.90427803,-57.26712219,-33.09344355,-19.84832536,-63.89506226,-61.46920843,-37.34836003
0.088315888,0.36930246,0.022219014,0.120909292,-0.024313727,-0.072683634,0.989700397,0,-22.77190392,-29.06894147,-14.38438059,-52.94859638,-31.30809962,-18.78098939,-58.45021731,-61.86871938,-37.44235909
0.089410688,0.365617019,0.026471991,0.097392977,-0.021365538,-0.0523635,0.993637854,0,-22.93343645,-28.40164229,-12.35609109,-48.81582534,-27.05728863,-17.89743799,-51.19274833,-62.16188015,-37.14024736
0.090954931,0.364018746,0.032657132,0.07624444,-0.01842138,-0.054447714,0.995431004,0,-23.7466918,-27.67293895,-12.24860556,-44.47593167,-25.3237441,-16.58077887,-48.95396733,-62.10186582,-36.94008024
0.092619429,0.361341045,0.042448365,0.04276686,-0.011706381,-0.081719655,0.995668546,0,-23.87521225,-26.47718565,-11.56913045,-36.55351599,-22.95665644,-15.11226007,-49.8147861,-59.83874745,-36.03840954
0.094518617,0.359824655,0.051555489,0.011048217,-0.005340254,-0.102293845,0.994678535,0,-24.80416341,-26.84108131,-11.36985632,-28.76681965,-20.6188854,-14.28546434,-49.98027686,-61.38733531,-35.19972499
0.093495018,0.358962252,0.058499389,-0.010390707,-0.001783979,-0.113320989,0.993502493,0,-25.98332992,-27.30980145,-10.96068269,-24.12298298,-18.97077267,-13.17953015,-50.09810362,-60.86677628,-33.11753351
0.087203705,0.358440195,0.061415424,-0.020797946,-0.001060271,-0.123621256,0.992110935,0,-27.2126041,-28.88093384,-12.09655931,-22.47557615,-18.79248909,-13.43402673,-51.99209838,-58.78664381,-31.16358857
0.080249283,0.358019243,0.064101766,-0.035870843,0.000444408,-0.138916334,0.98965415,0,-29.36693213,-30.17827234,-12.72996106,-20.37638424,-19.12412009,-13.61873869,-54.92417714,-54.35172462,-29.64876691
0.076100602,0.358052425,0.066430747,-0.0506333,0.00251153,-0.147954556,0.987693986,0,-31.08378707,-31.4137139,-12.88712536,-18.87629978,-19.41070838,-14.36855834,-56.6502979,-50.53941207,-28.87850687
0.067591049,0.357044979,0.07177726,-0.073162781,0.003825301,-0.145433397,0.986651763,0,-33.70690547,-32.39320699,-13.48117095,-16.70076906,-3.549775308,-14.12593184,-56.19843966,-47.56340283,-27.20552766
0.074850371,0.3604969,0.073584687,-0.0805769,0.005826284,-0.161644199,0.983536766,0,-36.40132891,-32.29621753,-14.28272493,-16.76816276,-19.94830067,-14.44201373,-60.49417152,-50.199689,-29.30408263
0.083588465,0.365364575,0.07851659,-0.095305454,0.009632472,-0.176617779,0.97960719,0,-39.84731822,-33.89774095,-15.71849923,-16.81669489,-21.2474457,-15.48498409,-65.14540863,-55.820051,-32.11445781
0.091498063,0.369950688,0.085580969,-0.11176907,0.012603272,-0.19945881,0.973429513,0,-42.24409046,-29.82352081,-17.09638369,-15.58079624,-21.37190056,-4.891398668,-70.72439837,-59.55745092,-34.75574309
0.099887148,0.375975521,0.088755495,-0.120342792,0.016639642,-0.215408567,0.968937503,0,-46.29125417,-31.6114289,-18.97032323,-16.70268219,-6.959010333,-17.42953537,-76.09226442,-64.45336979,-38.36248342
0.110203988,0.382481774,0.090929846,-0.123989299,0.020482646,-0.234478555,0.963964171,0,-49.51361361,-33.25540109,-20.41729031,-18.17846045,1.597552436,-18.50853312,-81.50456862,-69.25354814,-42.07695128
0.116906078,0.388946444,0.096588136,-0.135333427,0.023887479,-0.253404215,0.957549244,0,-53.07357091,-36.10240534,-22.02577116,-18.93118486,5.350951476,-19.70796141,-87.3890919,-74.30585623,-46.0702829
0.124023229,0.395946962,0.100620219,-0.145022497,0.027437869,-0.274536161,0.950181843,0,-57.55232715,-44.05092562,-23.8650089,-19.84738235,-28.09723135,-21.04260495,-94.55972473,-79.63422919,-49.7530464
0.133865097,0.403086003,0.106171217,-0.15488487,0.031875,-0.29061301,0.943683602,0,-61.36548286,-44.72520391,-25.59462508,-20.39531638,-29.5962051,-21.16985614,-99.44841232,-85.25063458,-53.95552585
0.140093269,0.411121678,0.113304793,-0.174832804,0.037405438,-0.307777168,0.93450925,0,-66.19583829,-49.2623612,-28.46943048,-21.05911867,-30.94557433,-23.31841113,-105.1461273,-90.48605619,-56.54286326
0.142652394,0.414123223,0.115398896,-0.170687838,0.035656354,-0.310784529,0.934348577,0,-67.29667992,-51.71243734,-30.19436092,-22.93227479,-31.41304894,-23.99836263,-107.3064505,-94.01205461,-58.56245477
0.148091263,0.417872991,0.119132073,-0.162288355,0.031413087,-0.315990191,0.934251522,0,-67.18932147,-53.77823323,-32.88058867,-24.83439797,-32.10562242,-23.60864009,-109.4815306,-97.70530708,-61.30326078
0.152567724,0.421845323,0.121055858,-0.149023544,0.025731347,-0.325037615,0.933531162,0,-66.852863,-57.901889,-34.39746508,-27.20100469,-32.68574533,-24.48408052,-112.1889891,-101.7071866,-63.87967403
0.158418371,0.425869242,0.125984589,-0.127193395,0.011692633,-0.335899813,0.933196891,0,-64.6018545,-61.1044747,-37.12966581,-29.94985318,-33.13464297,-24.11710244,-115.0126368,-105.5633796,-66.4488909
0.161094414,0.428332142,0.126615348,-0.107054777,0.000808138,-0.336024295,0.935749055,0,-63.568571,-63.99652538,-39.1195287,-33.18982255,-35.09292795,-25.1539151,-116.3943792,-109.4967294,-68.03950959
0.164874978,0.43170265,0.125122558,-0.078799454,-0.011354693,-0.337404617,0.937987122,0,-62.31914999,-67.78330854,-41.03822267,-38.40035236,-36.15590662,-25.91762314,-118.8551688,-113.2436575,-70.94082918
0.167495795,0.435503568,0.12341161,-0.047860993,-0.025266118,-0.338698146,0.939337274,0,-60.51166023,-71.11745794,-42.99633219,-44.82116239,-37.07123213,-27.14477886,-122.6804821,-116.9723748,-73.22249923
0.156680097,0.433050241,0.13140166,-0.057221964,-0.029559979,-0.308551554,0.949024654,0,-62.31877615,-75.07494795,-45.21793432,-45.12478561,-35.27729209,-28.11739504,-117.1161205,-119.1526086,-70.08111153
0.142128112,0.428626168,0.139558156,-0.065595562,-0.037161762,-0.278372038,0.957509913,0,-63.16137488,-80.00677952,-47.29939034,-45.5059789,-27.74643875,-26.99337315,-111.2178898,-117.2032897,-66.22231144
0.125545444,0.422857026,0.148389602,-0.078653706,-0.03901182,-0.238542237,0.967155248,0,-62.69671502,-84.52578186,-49.1607733,-44.42595721,-31.89712877,-26.32103221,-104.3277246,-114.8391945,-62.60480516
0.103089586,0.41744315,0.156166697,-0.108603615,-0.029282612,-0.195787736,0.974173981,0,-70.12842585,-89.0633696,-52.03711973,-43.81532804,-31.08859047,-26.69953176,-97.54159213,-109.867711,-59.63294579
0.081254155,0.413455339,0.166109504,-0.128487091,-0.027515497,-0.153389701,0.979390405,0,-73.85832205,-93.83525004,-55.7209479,-43.88939512,-29.90043801,-26.02845154,-90.35747602,-104.8675335,-56.68390987
0.058755939,0.411511064,0.17448819,-0.142185954,-0.031377529,-0.125953992,0.981292106,0,-75.96231091,-98.57427682,-58.53351693,-43.55581033,-28.82247846,-25.35758145,-84.54936808,-99.5530089,-52.39628567
0.04244103,0.407046209,0.167999348,-0.13777325,-0.029358047,-0.104951332,0.984450026,0,-76.69327529,-99.95391398,-58.32699828,-45.72896505,-31.20484811,-27.38995605,-82.06003252,-93.21006925,-48.60426983
0.026539314,0.403488113,0.162084239,-0.118783485,-0.032428853,-0.085480053,0.988702187,0,-75.21776285,-101.7003377,-57.67766484,-49.0002068,-32.22726599,-28.18488319,-79.989699,-87.27604283,-45.11510692
0.010763846,0.399303484,0.150487752,-0.103994642,-0.026722253,-0.059441084,0.992440322,0,-75.11401198,-98.53015477,-55.90692401,-52.67049206,-34.89470799,-29.11108659,-77.9788665,-80.49647304,-41.92737048
-0.005768642,0.396388326,0.138339871,-0.093282801,-0.024289727,-0.03757848,0.994633694,0,-75.77114191,-99.80166846,-54.47547948,-56.69029909,-37.70966204,-29.87792812,-75.77278451,-70.14413155,-38.59034726
-0.021662774,0.394746308,0.12501936,-0.071277691,-0.017208759,-0.004099522,0.997299626,0,-76.13371224,-94.51903047,-53.13868311,-61.48486699,-39.47337212,-30.26508872,-73.01907778,-62.73040422,-35.47868067
-0.038158913,0.39233713,0.109825172,-0.061017191,-0.009275025,0.030318656,0.997633026,0,-76.94900276,-91.80931664,-52.52421081,-65.99181534,-44.38646021,-30.76240885,-68.64155868,-55.66098396,-31.72969238
-0.048824234,0.39203817,0.097452427,-0.041081293,-0.003219181,0.056858128,0.997531512,0,-77.16565338,-90.16106489,-51.97090055,-71.0299539,-47.12423732,-31.16480875,-65.62713339,-48.68871725,-29.38704325
-0.060742708,0.392474006,0.087615738,-0.016657324,0.002795673,0.087173985,0.996049905,0,-76.03298406,-89.94354419,-51.44817131,-76.10868757,-30.39935892,-32.86974853,-62.31925501,-43.7900273,-26.4725637
