x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,mass,l0,l1,l2,l3,l4,l5,l6,l7,l8
0,0,0,0,0,0,1,500,-8.025,-0.075,-5.025,-6.6,-7.35,-5.625,-9.75,-5.1,-6.825
-0.001571724,-0.007870573,0.003555946,-0.021680066,-0.016329926,-0.000750751,0.999631304,500,-12.5413297,-5.257201833,-7.61175353,-6.539167614,-7.306548296,-5.598928978,-16.30718087,-5.186239217,-6.863770365
0.000154558,-0.009990135,0.008239875,-0.039536704,-0.021452918,-0.000689592,0.99898756,500,-19.19515941,-13.47690367,-10.53600706,-8.503335229,-11.46309659,-9.435357955,-21.36436174,-9.547478433,-10.01504073
0.001413961,-0.017014014,0.012189257,-0.058529374,-0.045420116,-0.00065931,0.997251669,500,-23.71148911,-18.6591055,-13.12276059,-8.442502843,-11.41964489,-9.409286933,-27.92154261,-9.63371765,-10.05381109
0.001713384,-0.022083623,0.016359582,-0.077778306,-0.050281308,0.001790699,0.995700316,500,-29.14656881,-24.38505733,-16.70326412,-9.469170457,-15.35119318,-12.28946591,-32.60372348,-15.98245687,-11.12383146
-0.000258703,-0.031214001,0.020523234,-0.097979026,-0.069151571,0.004348582,0.992773519,500,-33.66289852,-29.56725917,-19.29001765,-9.408338072,-15.30774148,-12.26339489,-39.16090435,-16.06869608,-11.16260182
-0.000284591,-0.036907608,0.025297385,-0.115656053,-0.079251482,0.009147555,0.990080402,500,-39.08860322,-35.546336,-22.52364618,-10.41625569,-7.576789776,-15.34044887,-44.85558522,-19.8111853,-13.66699719
-0.001384415,-0.047106141,0.030582005,-0.136828225,-0.100617356,0.01307656,0.985384792,500,-43.60493292,-40.72853783,-25.11039971,-10.3554233,-7.533338072,-15.31437784,-51.41276609,-19.89742452,-13.70576755
-0.000397186,-0.052001932,0.035257083,-0.139683904,-0.11361361,0.0189718,0.983473653,500,-47.00095013,-45.63417717,-30.34559074,-13.00396591,-3.646136368,-17.36486932,-57.31369696,-25.56178873,-16.32735042
-0.008030969,-0.046164826,0.035996771,-0.143934041,-0.081688079,0.017437176,0.986055776,500,-51.61956109,-43.42921823,-29.31188119,-16.62925027,-7.883842894,-19.5524925,-52.21679579,-26.07651236,-16.65348215
-0.011742911,-0.039892751,0.036226847,-0.155558632,-0.034058734,0.013179123,0.987151369,500,-58.0030158,-40.86097804,-28.55239039,-19.05922212,-11.32467442,-19.77839693,-49.41676962,-25.5552985,-16.92102013
