x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.0177484,0.001850394,0.253380281,0,0,0,1,-4.35,-5.475,-4.275,-4.425,-4.575,-6.75,-3.075,-4.725,-7.5
-0.018521911,-0.014469754,0.256679759,0.015426846,0.021357702,-0.001926863,0.999651013,-8.866329703,-10.65720183,-6.86175353,-4.364167614,-4.531548296,-6.723928978,-9.63218087,-4.811239217,-7.538770365
-0.01465254,-0.018568392,0.261568089,0.024628483,0.038417911,-0.003526269,0.998951985,-14.50765941,-14.75190367,-10.68600706,-6.440835229,-9.475596592,-9.922857955,-16.75186174,-7.784978433,-10.42754073
-0.011499207,-0.031884596,0.266036059,0.035935956,0.062958495,-0.00463473,0.997358188,-19.02398911,-19.9341055,-13.27276059,-6.380002843,-9.432144888,-9.896786933,-23.30904261,-7.87121765,-10.46631109
-0.00296457,-0.039689663,0.270954122,0.041473061,0.09556307,-0.003902379,0.994551384,-22.37781881,-24.87255733,-16.85326412,-7.087920457,-11.43244318,-12.75821591,-30.89747348,-10.22620687,-11.70508146
0.000743483,-0.053828736,0.276676488,0.053882357,0.122246292,-0.001068465,0.991035516,-26.89414852,-30.05475917,-19.44001765,-7.027088072,-11.38899148,-12.73214489,-37.45465435,-10.31244608,-11.74385182
0.005481991,-0.061880708,0.282084407,0.067702405,0.143603557,0.000293946,0.987316725,-31.57922822,-34.665086,-23.12364618,-7.200630686,-13.04241478,-15.94982387,-43.25246022,-17.3080603,-12.98262219
0.009208095,-0.075717007,0.288991692,0.076412672,0.169988783,0.003477633,0.98247281,-36.09555792,-39.84728783,-25.71039971,-7.1397983,-12.99896307,-15.92375284,-49.80964109,-17.39429952,-13.02139255
0.015542968,-0.085325843,0.296114236,0.086717728,0.198039588,0.007110673,0.976324636,-40.62126263,-45.26855217,-29.74559074,-6.971153415,-15.75394887,-18.86955682,-56.43713446,-22.21022623,-16.21016292
-0.00126853,-0.078052746,0.295194048,0.101966382,0.16364546,0.002714623,0.981231701,-45.23987359,-43.06359323,-28.71188119,-10.59643777,-19.99165539,-21.05718,-51.34023329,-22.72494986,-16.53629465
-0.012125128,-0.074115636,0.293445522,0.118621367,0.130393796,3.39872763961987e-05,0.984340606,-48.66317205,-43.07816554,-27.95239039,-11.99281587,-21.35358067,-21.73074068,-48.60348837,-20.35451725,-16.78742638
-0.028522855,-0.069291245,0.294065998,0.133496215,0.101696428,-0.000645659,0.985817519,-53.28178302,-40.8732066,-26.91868083,-15.61810023,-25.5912872,-23.91836386,-43.5065872,-20.86924088,-17.11355812
-0.041237959,-0.061746634,0.293943687,0.15502838,0.053040262,-0.00265284,0.986481573,-58.20273773,-39.55301328,-26.17208066,-18.12893146,-27.1161031,-24.59895579,-39.88976416,-19.64138639,-17.17718985
-0.05470736,-0.056383032,0.296459119,0.165080756,0.025230217,-0.000629818,0.98595709,-62.82134869,-37.34805434,-25.1383711,-21.75421581,-31.35380962,-26.78657897,-34.79286299,-20.15611002,-17.50332158
