Format Version,1.24,Take Name,Take 2024-08-07 11.30.36 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-08-07 11.30.37.870 AM,Capture Start Frame,4110063,Total Frames in Take,3020,Total Exported Frames,3020,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 004,Rigid Body 004,Rigid Body 004,Rigid Body 004,Rigid Body 004,Rigid Body 004,Rigid Body 004,Rigid Body 004:Marker 001,Rigid Body 004:Marker 001,Rigid Body 004:Marker 001,Rigid Body 004:Marker 002,Rigid Body 004:Marker 002,Rigid Body 004:Marker 002,Rigid Body 004:Marker 003,Rigid Body 004:Marker 003,Rigid Body 004:Marker 003,Rigid Body 004:Marker 004,Rigid Body 004:Marker 004,Rigid Body 004:Marker 004,Rigid Body 004:Marker 001,Rigid Body 004:Marker 001,Rigid Body 004:Marker 001,Rigid Body 004:Marker 002,Rigid Body 004:Marker 002,Rigid Body 004:Marker 002,Rigid Body 004:Marker 003,Rigid Body 004:Marker 003,Rigid Body 004:Marker 003,Rigid Body 004:Marker 004,Rigid Body 004:Marker 004,Rigid Body 004:Marker 004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015
,ID,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,3E06F48E533711EFA6D181647A6833AC,"FEA14CD054D111EFA6D181647A6833AC","FEA14CD054D111EFA6D181647A6833AC","FEA14CD054D111EFA6D181647A6833AC","FEA14CD454D111EFA6D181647A6833AC","FEA14CD454D111EFA6D181647A6833AC","FEA14CD454D111EFA6D181647A6833AC","FEA14CD254D111EFA6D181647A6833AC","FEA14CD254D111EFA6D181647A6833AC","FEA14CD254D111EFA6D181647A6833AC","FEA14CD354D111EFA6D181647A6833AC","FEA14CD354D111EFA6D181647A6833AC","FEA14CD354D111EFA6D181647A6833AC","7BF4B5DC1D5541C11EF","7BF4B5DC1D5541C11EF","7BF4B5DC1D5541C11EF","7C04B5DC1D5541C11EF","7C04B5DC1D5541C11EF","7C04B5DC1D5541C11EF","7C14B5DC1D5541C11EF","7C14B5DC1D5541C11EF","7C14B5DC1D5541C11EF","7C24B5DC1D5541C11EF","7C24B5DC1D5541C11EF","7C24B5DC1D5541C11EF","7C34B5DC1D5541C11EF","7C34B5DC1D5541C11EF","7C34B5DC1D5541C11EF","7C44B5DC1D5541C11EF","7C44B5DC1D5541C11EF","7C44B5DC1D5541C11EF","7C64B5DC1D5541C11EF","7C64B5DC1D5541C11EF","7C64B5DC1D5541C11EF","7C74B5DC1D5541C11EF","7C74B5DC1D5541C11EF","7C74B5DC1D5541C11EF","7C84B5DC1D5541C11EF","7C84B5DC1D5541C11EF","7C84B5DC1D5541C11EF","7C94B5DC1D5541C11EF","7C94B5DC1D5541C11EF","7C94B5DC1D5541C11EF","7CA4B5DC1D5541C11EF","7CA4B5DC1D5541C11EF","7CA4B5DC1D5541C11EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.001768,-0.168958,-0.000339,0.985622,-14.629072,252.423828,-4.587726,22.458523,250.371307,49.937225,-46.022648,254.103027,-58.017242,-77.853729,252.796585,34.133411,42.901562,252.424301,-44.404282,22.614389,250.658813,49.786869,-46.514507,254.492996,-57.748638,-77.758385,252.482925,33.727337,43.099232,252.036987,-44.068214,-40.998005,380.438782,-35.206940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.001762,-0.168954,-0.000343,0.985622,-14.627712,252.428436,-4.588887,22.460361,250.374939,49.935707,-46.021751,254.108582,-58.018105,-77.852028,252.801025,34.132816,42.902565,252.429153,-44.405960,22.616648,250.662476,49.784908,-46.513641,254.497437,-57.748592,-77.757225,252.490250,33.726456,43.101341,252.045212,-44.070950,-40.998600,380.429382,-35.210167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.001772,-0.168957,-0.000340,0.985622,-14.628556,252.431686,-4.589037,22.459152,250.379501,49.935848,-46.022240,254.110580,-58.018501,-77.853134,252.804962,34.132229,42.901997,252.431656,-44.405720,22.614925,250.667755,49.784500,-46.513760,254.500122,-57.749161,-77.757072,252.491837,33.725807,43.100086,252.044800,-44.068932,-40.995972,380.441528,-35.207520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.001760,-0.168954,-0.000335,0.985622,-14.629348,252.428024,-4.589525,22.458799,250.375183,49.935040,-46.023457,254.107590,-58.018719,-77.853638,252.799576,34.132225,42.900902,252.429688,-44.406643,22.615564,250.663101,49.783955,-46.515263,254.496780,-57.748901,-77.758125,252.486710,33.724792,43.098671,252.043274,-44.069733,-40.994804,380.436462,-35.204800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.001764,-0.168959,-0.000330,0.985622,-14.627357,252.424683,-4.589022,22.460211,250.372589,49.935966,-46.020893,254.103577,-58.018574,-77.852074,252.796082,34.132038,42.903332,252.426422,-44.405510,22.614964,250.659134,49.785110,-46.510708,254.490875,-57.748329,-77.755630,252.484589,33.725544,43.100361,252.042053,-44.070507,-40.993938,380.431610,-35.206692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.001763,-0.168960,-0.000328,0.985621,-14.629768,252.426086,-4.590722,22.457710,250.374146,49.934326,-46.023220,254.104858,-58.020332,-77.854561,252.797119,34.130222,42.900986,252.428177,-44.407108,22.613499,250.661438,49.782326,-46.512634,254.492737,-57.750706,-77.760124,252.486053,33.723961,43.096992,252.044022,-44.071449,-40.998062,380.429718,-35.206905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
